ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
EBAY,9.8217,-2.5565,6.5435,-4.6853,4.5881,-2.4049,9.8217,6.5435,4.5881,100.0,100.0,100.0,100.0
ANET,18.674,-0.0873,9.6479,-6.9509,8.7525,-8.256,16.7392,9.1997,8.7525,100.0,95.35,89.64,95.0
GLW,6.7043,-1.9759,4.176,-2.058,3.4011,-2.0639,6.7043,4.176,3.4011,100.0,100.0,100.0,100.0
CHRW,6.5921,-4.0832,6.9996,-3.7665,5.3526,-3.9988,5.3132,3.7712,5.3526,100.0,53.88,80.6,78.16
ORLY,10.2937,-0.2441,3.9003,-1.7454,3.0845,-2.1237,10.2937,3.7166,3.0845,100.0,95.29,100.0,98.43
SHOP,27.703,-16.4815,14.8022,-22.4701,8.2782,-13.3384,15.2931,10.1005,8.1509,98.46,68.24,55.2,73.97
UEC,1.0342,-1.2157,0.8974,-0.5847,0.7709,-0.5387,0.7738,0.822,0.7552,97.96,91.6,74.82,88.13
CRH,13.5058,-1.9934,7.3473,-2.4526,3.0589,-4.292,10.7876,2.5599,2.9774,97.34,34.84,79.87,70.68
MO,6.3319,-2.0306,2.8678,-1.8369,1.5034,-1.9928,6.3319,2.499,1.4341,95.39,87.14,100.0,94.18
MP,8.6162,-4.1808,12.1823,-3.1176,8.5153,-3.3161,6.9873,12.1823,7.7761,91.32,100.0,81.09,90.8
GOOGL,20.7213,-1.7434,11.6503,-7.4615,6.0608,-7.0501,14.6123,6.7548,5.343,88.16,57.98,70.52,72.22
NOC,52.2439,-4.0473,24.0365,-15.1463,22.3235,-20.9826,26.7587,23.2582,19.5673,87.65,96.76,51.22,78.54
GOOG,20.8494,-1.7145,11.69,-7.5014,6.065,-7.0188,14.6391,6.4982,5.2495,86.55,55.59,70.21,70.79
BK,12.7816,-2.5365,5.9268,-2.9517,2.9836,-3.5695,12.7816,5.9268,2.5689,86.1,100.0,100.0,95.37
AZO,364.5543,-27.6818,152.7035,-69.1944,102.409,-82.114,364.5543,128.1772,87.4821,85.42,83.94,100.0,89.79
PLTR,35.5838,-2.6558,22.7881,-3.2303,12.5183,-3.7286,35.5838,22.7881,10.4586,83.55,100.0,100.0,94.52
AEP,7.6635,-1.586,4.9156,-3.1571,2.8127,-5.3949,7.6635,3.0954,2.3285,82.79,62.97,100.0,81.92
GEV,110.4662,0.0,80.892,-1.1186,40.4201,-21.225,110.4662,80.892,33.2014,82.14,100.0,100.0,94.05
DUK,8.4388,-0.7994,5.4071,-3.3638,2.5619,-5.6654,8.4388,2.5989,2.0971,81.86,48.06,100.0,76.64
MSI,57.971,-11.0309,32.1813,-8.5971,10.5559,-12.032,40.2904,2.8849,8.6256,81.71,8.96,69.5,53.39
JNJ,9.7772,-1.1185,4.7638,-4.0819,4.7314,-5.799,3.7583,4.3544,3.8538,81.45,91.41,38.44,70.43
J,12.8286,-4.3961,8.1328,-4.5286,4.5677,-5.9358,7.8248,4.8669,3.6198,79.25,59.84,60.99,66.7
CDNS,38.0053,-3.6479,18.6868,-11.1349,14.4519,-15.718,26.5461,16.5841,11.3323,78.41,88.75,69.85,79.0
FE,3.6387,-2.4543,1.9724,-3.082,1.0806,-3.0265,1.781,0.6699,0.8427,77.98,33.96,48.95,53.63
NEM,7.0608,-5.3641,5.743,-5.886,3.5238,-4.2528,4.6723,5.1685,2.6716,75.82,90.0,66.17,77.33
SPGI,52.2091,-5.6684,24.5732,-23.4409,13.4776,-22.0648,39.0974,13.4447,10.1627,75.4,54.71,74.89,68.33
NI,4.1624,-0.5762,2.1607,-0.9296,0.9118,-1.5792,4.1624,1.3231,0.6851,75.14,61.23,100.0,78.79
WELL,21.0338,-2.8975,9.2297,-8.8883,5.0544,-9.9801,21.0338,7.1922,3.7309,73.81,77.92,100.0,83.91
AEM,19.0769,-4.983,9.5236,-3.1866,5.3903,-4.0137,19.0769,8.8927,3.9637,73.53,93.38,100.0,88.97
WPM,12.3109,-2.7947,6.9149,-2.9668,3.1554,-2.2828,12.3109,6.9149,2.3092,73.18,100.0,100.0,91.06
GD,24.7384,-8.2436,13.5678,-11.6019,7.7736,-14.7979,16.9245,11.7918,5.6148,72.23,86.91,68.41,75.85
AMD,23.1707,-3.9565,22.2896,-13.3025,11.5268,-9.1377,6.9751,14.1446,8.2831,71.86,63.46,30.1,55.14
TSCO,5.8507,-0.952,3.1863,-1.2594,1.708,-1.9404,3.1768,1.5073,1.2206,71.46,47.31,54.3,57.69
SNPS,68.5028,-2.2393,34.2643,-29.2999,31.3119,-24.6719,31.4735,33.2827,22.1908,70.87,97.14,45.94,71.32
DASH,36.535,-27.9511,20.065,-25.4621,10.0983,-14.2424,36.535,20.065,7.1494,70.8,100.0,100.0,90.27
FAST,4.182,-0.256,2.4639,-0.9382,1.5051,-1.1253,4.182,2.4639,1.0151,67.44,100.0,100.0,89.15
D,3.9474,-6.0155,2.5826,-4.6197,1.9022,-3.9163,1.6864,1.7808,1.2818,67.39,68.95,42.72,59.69
TEL,16.5855,-4.5662,14.0901,-6.6129,10.8173,-8.5812,13.9666,14.0901,7.2396,66.93,100.0,84.21,83.71
RMD,32.9303,-12.3213,23.3673,-20.3695,10.9686,-13.5507,17.0663,12.5815,7.3324,66.85,53.84,51.83,57.51
URI,120.7498,-5.2728,64.6293,-42.396,36.5608,-36.0071,83.4501,45.8146,24.4275,66.81,70.89,69.11,68.94
APH,14.0794,-0.1735,9.9101,-1.4469,4.8045,-2.1757,14.0794,9.9101,3.2002,66.61,100.0,100.0,88.87
HOOD,20.1117,-7.1731,17.6867,-6.7068,8.4649,-3.9898,20.1117,17.6867,5.4759,64.69,100.0,100.0,88.23
DHI,23.3867,-3.0647,12.674,-9.9042,9.5014,-7.5579,5.4753,3.3424,6.1454,64.68,26.37,23.41,38.15
CNP,3.0158,-1.6197,2.0222,-2.6819,0.9204,-3.0175,3.0158,1.2444,0.5909,64.2,61.54,100.0,75.25
NVDA,28.3936,-0.0835,16.9297,-5.5363,9.7731,-6.2576,28.3936,14.7818,6.2583,64.04,87.31,100.0,83.78
