ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
GOOGL,20.7028,-1.7418,14.1772,-7.4548,10.5844,-7.0438,19.0425,14.1772,10.5844,100.0,100.0,91.98,97.33
GOOG,20.8308,-1.713,13.8779,-7.4947,10.4199,-7.0125,18.9866,13.8779,10.4199,100.0,100.0,91.15,97.05
AGI,4.518,-2.0696,2.4749,-0.5165,1.6995,-0.6401,4.518,1.8009,1.6995,100.0,72.77,100.0,90.92
AEM,21.945,-4.9935,11.9728,-3.1933,6.2914,-4.0221,21.945,11.9728,6.2914,100.0,100.0,100.0,100.0
PHM,20.798,-4.5012,9.0821,-6.5676,5.2514,-6.1439,10.3165,7.374,5.1514,98.1,81.19,49.6,76.3
LOW,29.9748,-1.8445,15.2973,-10.3014,8.8846,-12.0317,9.9976,7.8623,8.343,93.9,51.4,33.35,59.55
WPM,13.8001,-2.7947,7.5315,-2.9668,3.1554,-2.2828,13.8001,7.5315,2.9527,93.58,100.0,100.0,97.86
RY,11.9195,-1.9318,6.476,-4.0347,3.6744,-5.3006,11.9195,6.476,3.3894,92.24,100.0,100.0,97.41
TOL,24.6187,-2.5196,11.5452,-10.5626,6.1924,-7.7112,10.9003,7.0658,5.6884,91.86,61.2,44.28,65.78
TJX,12.7923,-0.1984,5.4015,-2.8319,3.2663,-5.6523,12.562,4.0848,2.8568,87.46,75.62,98.2,87.1
UEC,1.1759,-1.2157,1.3741,-0.5847,0.8193,-0.5387,1.1759,1.3741,0.7104,86.71,100.0,100.0,95.57
FNV,18.7677,-4.7695,11.5126,-8.212,7.9123,-6.0263,14.8019,10.9157,6.8548,86.63,94.82,78.87,86.77
NEM,7.0374,-5.3463,6.8922,-5.8665,3.5122,-4.2387,6.5482,6.8922,3.0413,86.59,100.0,93.05,93.21
GLW,8.0169,-1.9679,6.1091,-2.0496,3.4126,-2.0555,8.0169,6.1091,2.9094,85.25,100.0,100.0,95.08
BWA,5.6452,-3.7974,3.2546,-3.5087,1.9527,-2.9092,0.8887,3.2546,1.6215,83.04,100.0,15.74,66.26
DHI,23.3867,-3.0647,12.674,-9.9042,9.5014,-7.5579,9.1152,10.9934,7.8398,82.51,86.74,38.98,69.41
MSI,57.971,-11.0309,32.1813,-8.5971,11.6274,-12.032,41.6011,11.3017,9.5599,82.22,35.12,71.76,63.03
HUM,38.4951,-47.8618,23.2171,-38.7462,17.0685,-30.6677,-36.2518,9.78,13.821,80.97,42.12,-94.17,9.64
XLC,10.7831,-3.8489,4.4331,-4.58,2.0761,-3.4151,10.7831,4.3133,1.6754,80.7,97.3,100.0,92.67
AZO,399.5979,-27.6818,178.2351,-69.1944,102.409,-82.114,399.5979,178.2351,82.4879,80.55,100.0,100.0,93.52
MDB,87.7479,-31.6823,56.3934,-47.5049,36.0296,-40.142,-13.6274,19.0794,28.9091,80.24,33.83,-15.53,32.85
NTAP,14.7056,-3.1183,10.5451,-9.4454,4.6614,-8.1685,6.8037,3.3517,3.6717,78.77,31.78,46.27,52.27
AEO,4.5123,-2.3197,4.3542,-2.7791,1.9766,-1.7073,-1.2116,0.6639,1.5567,78.76,15.25,-26.85,22.38
URI,120.5141,-5.2625,68.4499,-42.3132,36.4894,-35.9368,98.1984,68.4499,27.4615,75.26,100.0,81.48,85.58
LEN,21.5862,-6.914,10.9064,-12.1803,7.0102,-8.5869,1.1714,3.7841,5.1536,73.52,34.7,5.43,37.88
EXPE,19.2405,-11.9354,18.7707,-21.5298,9.3746,-16.1392,18.5958,12.4423,6.8565,73.14,66.29,96.65,78.69
CHRW,7.6889,-4.0634,7.8002,-3.7482,6.0557,-3.9794,7.6889,7.8002,4.3388,71.65,100.0,100.0,90.55
APP,104.2364,-13.8549,74.7538,-10.6337,46.7033,-32.7095,104.2364,50.0631,33.0847,70.84,66.97,100.0,79.27
HD,40.7937,-2.0461,22.7964,-14.9335,13.168,-17.063,20.7135,10.6997,9.0673,68.86,46.94,50.78,55.52
XHB,13.7296,-4.7107,7.3979,-5.0395,4.0497,-5.3146,6.2693,4.0721,2.742,67.71,55.04,45.66,56.14
AER,13.1536,-6.333,6.6269,-9.2666,4.281,-10.795,13.1536,4.9503,2.8279,66.06,74.7,100.0,80.25
VLO,16.6128,-6.7889,13.6894,-8.8548,8.4442,-9.1886,6.8945,6.8015,5.3673,63.56,49.68,41.5,51.58
CFG,4.5038,-2.5625,3.5529,-3.5444,1.9263,-4.0555,4.2544,2.8759,1.2108,62.86,80.95,94.46,79.42
RF,2.1597,-3.8393,1.8262,-1.3382,0.9467,-1.5831,1.9316,1.3723,0.5928,62.62,75.15,89.44,75.73
AAPL,24.0072,-0.0776,12.7597,-7.6185,8.9036,-10.6041,12.8569,4.9423,5.4018,60.67,38.73,53.55,50.99
BAC,4.5653,-6.78,3.1772,-2.6286,1.4036,-2.9036,4.0261,1.92,0.849,60.49,60.43,88.19,69.7
JNJ,9.706,-1.1104,6.657,-4.0522,4.697,-5.7568,5.2674,6.657,2.7709,58.99,100.0,54.27,71.09
AXP,37.712,-7.4715,18.3395,-9.2269,10.1117,-12.8305,34.7847,10.8021,5.8355,57.71,58.9,92.24,69.62
AVGO,53.5603,-0.0309,31.2369,-2.3755,18.2579,-12.5893,53.5603,31.2369,10.4482,57.23,100.0,100.0,85.74
UAL,12.6429,-12.3429,13.9678,-16.7163,7.0702,-13.322,12.4599,6.6635,4.0303,57.0,47.71,98.55,67.75
WYNN,25.9241,-20.4541,11.4311,-15.305,7.3118,-19.4805,5.3231,9.0181,4.1563,56.84,78.89,20.53,52.09
IWM,20.9198,-5.8264,17.3284,-10.2298,6.8296,-14.82,9.2553,6.9131,3.8616,56.54,39.89,44.24,46.89
ORLY,10.8301,-0.2441,4.5786,-1.7454,3.0845,-2.1237,10.8301,4.5786,1.7352,56.26,100.0,100.0,85.42
M,4.2221,-4.2943,3.1953,-2.5371,2.0124,-2.0521,-0.6752,0.5632,1.1294,56.12,17.63,-15.99,19.25
FLEX,7.7299,-1.7836,4.2532,-1.3992,2.5634,-2.3416,7.7299,4.2532,1.4075,54.91,100.0,100.0,84.97
KBH,11.5587,-6.0375,5.5338,-5.2067,3.983,-6.1239,1.9576,1.3295,2.1726,54.55,24.03,16.94,31.84
PNC,19.0242,-8.285,13.6516,-10.1589,6.8014,-12.5896,13.8636,7.4039,3.7048,54.47,54.23,72.87,60.53
ADSK,37.6871,-11.4102,23.4406,-23.5091,14.5632,-14.827,21.6927,8.4402,7.8916,54.19,36.01,57.56,49.25
LSCC,13.7057,-4.5642,8.6211,-7.042,4.8943,-6.984,-2.0802,3.273,2.6269,53.67,37.96,-15.18,25.49
CRH,13.5058,-1.9934,7.3473,-2.4526,4.7107,-4.292,11.7517,5.0751,2.526,53.62,69.07,87.01,69.9
