ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
TSCO,5.9977,-1.0875,3.1173,-1.3401,1.5575,-1.9867,2.6786,0.0425,1.5575,100.0,1.36,44.66,48.67
TXN,20.28,-2.6235,10.1109,-9.2729,7.7667,-9.3961,9.3426,7.1295,7.7667,100.0,70.51,46.07,72.19
RCL,50.5721,-14.0006,26.8018,-22.3582,21.5416,-21.789,50.5721,26.8018,21.5416,100.0,100.0,100.0,100.0
STT,8.4594,-6.2092,5.6493,-5.8706,3.8319,-6.4796,8.4594,4.3615,3.8319,100.0,77.2,100.0,92.4
CAT,45.1911,-5.907,27.3847,-16.8103,14.1127,-14.9715,31.768,10.0634,14.1127,100.0,36.75,70.3,69.02
FLEX,6.6502,-1.7836,3.5401,-1.3992,2.5634,-2.3416,6.6502,3.5401,2.5343,98.86,100.0,100.0,99.62
ORCL,25.4035,-0.2282,17.0021,-7.1962,16.099,-8.0429,25.4035,17.0021,15.8679,98.56,100.0,100.0,99.52
HOOD,16.493,-7.1731,13.1432,-6.7068,7.6923,-3.9898,16.493,13.1432,7.5771,98.5,100.0,100.0,99.5
CFG,4.543,-2.5848,3.5838,-3.5752,1.943,-4.0908,3.2367,1.0164,1.906,98.1,28.36,71.25,65.9
LRCX,12.6125,-0.5541,8.102,-4.1669,4.1025,-6.7034,6.059,5.2229,4.0114,97.78,64.46,48.04,70.09
RF,2.1808,-3.8768,1.8441,-1.3513,0.8793,-1.5986,1.3963,0.4004,0.8466,96.28,21.71,64.03,60.67
URI,120.7498,-5.2728,64.6293,-42.396,30.3389,-36.0071,72.4959,18.2318,28.653,94.44,28.21,60.04,60.9
COIN,41.4076,-63.5864,39.9093,-46.7274,33.6648,-25.6705,41.4076,29.5564,31.4291,93.36,74.06,100.0,89.14
BLK,105.6448,-4.8438,61.4031,-55.5973,34.7365,-38.2601,88.7997,29.4848,32.163,92.59,48.02,84.05,74.89
C,26.8988,-71.0646,5.4249,-6.4352,3.3325,-7.9672,8.388,4.1044,3.0272,90.84,75.66,31.18,65.89
EMR,10.191,-2.0938,6.3697,-4.9396,5.5388,-6.714,9.9226,5.3547,5.0024,90.32,84.07,97.37,90.58
PNC,19.1895,-8.3569,13.7702,-10.2471,6.8605,-12.699,12.0713,2.5106,6.1797,90.08,18.23,62.91,57.07
CSCO,5.1452,-1.5407,3.2076,-2.9444,1.6954,-2.4801,5.1452,2.8456,1.5205,89.68,88.71,100.0,92.8
SYF,7.9768,-2.0131,6.0637,-4.3355,3.4379,-4.248,7.509,2.6841,3.0745,89.43,44.27,94.14,75.94
JBL,25.6249,-3.7009,19.4646,-5.4335,14.6589,-7.6,25.6249,19.4646,13.0926,89.32,100.0,100.0,96.44
SMH,33.996,-1.8894,21.9991,-11.3802,11.2827,-12.0591,26.8035,11.2693,10.0678,89.23,51.23,78.84,73.1
SNPS,68.5028,-2.2393,34.2643,-29.2999,21.5467,-24.6719,19.8093,8.5118,19.1975,89.1,24.84,28.92,47.62
GS,82.1821,-17.1977,41.8019,-16.2231,31.4278,-27.0215,82.1821,35.6767,27.7449,88.28,85.35,100.0,91.21
TSM,27.9964,-2.7166,17.1043,-8.3267,9.6497,-9.496,27.4244,11.243,8.5069,88.16,65.73,97.96,83.95
SN,16.4803,-0.5758,11.7722,-5.0731,5.635,-7.1205,13.1672,1.768,4.9519,87.88,15.02,79.9,60.93
DASH,32.9834,-27.9511,16.758,-25.4621,10.0983,-14.2424,32.9834,16.758,8.6296,85.46,100.0,100.0,95.15
KKR,25.5799,-1.1885,13.9036,-8.4863,5.7325,-9.6963,16.8209,0.9382,4.8808,85.14,6.75,65.76,52.55
HLT,29.4608,-1.5543,13.802,-8.3777,8.679,-11.7698,26.6945,7.7086,7.3287,84.44,55.85,90.61,76.97
CASY,61.1595,-0.2279,27.8375,-5.1843,16.9835,-10.242,61.1595,27.8375,14.2252,83.76,100.0,100.0,94.59
IYT,5.485,-1.5289,4.1696,-3.1868,1.8949,-3.9552,2.2584,0.6138,1.5866,83.73,14.72,41.17,46.54
CCL,5.7496,-10.1339,2.6782,-9.3117,2.0514,-7.9462,2.5717,1.4917,1.7033,83.03,55.7,44.73,61.15
AXP,37.712,-7.4715,18.3395,-9.2269,10.1117,-12.8305,34.9252,10.2722,8.314,82.22,56.01,92.61,76.95
KLAC,118.8706,-4.1408,64.932,-25.9447,39.756,-27.9491,88.7616,53.6683,32.5497,81.87,82.65,74.67,79.73
WYNN,25.9835,-20.5009,11.4573,-15.34,7.3286,-19.5251,1.1204,3.8507,5.975,81.53,33.61,4.31,39.82
GD,24.7384,-8.2436,13.5678,-11.6019,7.7736,-14.7979,14.5605,6.4658,6.3256,81.37,47.66,58.86,62.63
XLK,21.8457,-1.6408,10.3194,-7.561,7.9517,-9.2151,19.4987,7.9391,6.4675,81.33,76.93,89.26,82.51
DIA,29.6474,-6.9571,13.8136,-11.9588,8.096,-20.7784,25.2,5.2807,6.5641,81.08,38.23,85.0,68.1
TD,6.8561,-1.5207,4.3671,-3.3474,2.0379,-3.923,3.3498,4.2551,1.636,80.28,97.44,48.86,75.52
SPY,49.1655,-9.6431,20.7788,-14.6455,12.2309,-21.8455,44.5206,12.4502,9.8003,80.13,59.92,90.55,76.87
JPM,33.6223,-2.3637,16.0442,-8.3068,8.5185,-10.7758,33.6223,12.8691,6.779,79.58,80.21,100.0,86.6
WHR,19.78,-12.1648,14.2483,-10.3555,8.3147,-13.3555,-6.2233,0.5548,6.5789,79.12,3.89,-31.46,17.18
HBAN,1.3298,-2.2093,1.2153,-1.2325,0.6869,-1.2009,1.2454,0.4544,0.537,78.18,37.39,93.65,69.74
COF,23.573,-9.9273,16.3299,-10.1828,9.101,-12.6264,23.573,10.1884,7.054,77.51,62.39,100.0,79.97
NXPI,26.7335,-3.7731,16.2137,-13.8799,9.5039,-12.8796,3.4854,2.4686,7.3436,77.27,15.23,13.04,35.18
ETN,48.0765,-3.1051,26.9577,-16.2819,13.0746,-12.5364,33.5173,10.0441,9.9505,76.11,37.26,69.72,61.03
MCHP,8.6492,-5.8192,5.8678,-7.5741,4.3953,-5.2024,-3.4955,3.2363,3.3453,76.11,55.15,-40.41,30.28
XLC,9.8598,-3.8489,4.4331,-4.58,2.0761,-3.4151,9.8598,3.0487,1.5741,75.82,68.77,100.0,81.53
AMAT,27.9907,-1.6126,17.7785,-12.29,10.5372,-12.9515,7.7406,3.9503,7.9341,75.3,22.22,27.65,41.72
