Stock,Earnings Date,Sector,Industry
MARA,05/11/2026,Financials,Capital Markets
CEG,05/11/2026,Utilities,Renewable
HIMS,05/11/2026,Consumer Defensive,Household and Personal Products
MOS,05/11/2026,Basic Materials,Agricultural Inputs
SPG,05/11/2026,Real Estate,Real Estate
CRSP,05/11/2026,Healthcare,Biotechnology
FNV,05/12/2026,Basic Materials,Gold Miners
ONON,05/12/2026,Consumer Cyclical,Footwear and Accesories
ZBRA,05/12/2026,Technology,Communication Equipment
SE,05/12/2026,Consumer Cyclical,Internet Retail
ARMK,05/12/2026,Industrials,Specialty Business Services
CSCO,05/13/2026,Technology,Communication Equipment
BABA,05/13/2026,Consumer Cyclical,Internet Retail
BIRK,05/13/2026,Consumer Cyclical,Footwear and Accesories
AMAT,05/14/2026,Technology,Semiconductors Equipment and Materials
CSIQ,05/14/2026,Technology,Solar
BOOT,05/14/2026,Consumer Cyclical,Apparel Retail
HD,05/19/2026,Consumer Cyclical,Home Improvement Retail
TOL,05/19/2026,Consumer Cyclical,Residential Construction
INTU,05/20/2026,Technology,Software Application
LOW,05/20/2026,Consumer Cyclical,Home Improvement Retail
NVDA,05/20/2026,Technology,Semiconductors
ELF,05/20/2026,Consumer Defensive,Household and Personal Products
TGT,05/20/2026,Consumer Defensive,Discount Stores
TJX,05/20/2026,Consumer Cyclical,Apparel Retail
ZIM,05/20/2026,Industrials,Marine Shipping
ADI,05/20/2026,Technology,Semiconductors
CPRT,05/21/2026,Industrials,Specialty Business Services
WDAY,05/21/2026,Technology,Software Application
WMT,05/21/2026,Consumer Defensive,Discount Stores
ROST,05/21/2026,Consumer Cyclical,Apparel Retail
DE,05/21/2026,Industrials,Farm and Heavy Construction Machinery
TTWO,05/21/2026,Communication Services,Electronic Gaming and Multimedia
DECK,05/21/2026,Consumer Cyclical,Footwear and Accesories
ZM,05/21/2026,Technology,Software Application
ZS,05/26/2026,Technology,Software Infastructure
AZO,05/26/2026,Consumer Cyclical,Specialty Retail
ANF,05/27/2026,Consumer Cyclical,Apparel Retail
SNPS,05/27/2026,Technology,Software Infastructure
DKS,05/27/2026,Consumer Cyclical,Specialty Retail
UHAL,05/27/2026,Industrials,Rental and Leasing Services
M,05/27/2026,Consumer Cyclical,Specialty Retail
SNOW,05/27/2026,Technology,Software Application
