Stock,Earnings Date,Sector,Industry
RSG,02/17/2026,Industrials,Waste Management
PANW,02/17/2026,Technology,Software Infastructure
TOL,02/17/2026,Consumer Cyclical,Residential Construction
GPC,02/17/2026,Consumer Cyclical,Auto Parts
HUN,02/17/2026,Basic Materials,Chemicals
CZR,02/17/2026,Consumer Cyclical,Resorts/Casinos/Gambling
CDNS,02/17/2026,Technology,Software Application
FE,02/17/2026,Utilities,Regulated Electric
DVN,02/17/2026,Energy,Oil and Gas E&P
BLDR,02/17/2026,Industrials,Building Products and Equipment
MDT,02/17/2026,Healthcare,Medical Devices
VMC,02/17/2026,Basic Materials,Building Materials
CE,02/17/2026,Basic Materials,Chemicals
VRSK,02/18/2026,Industrials,Consulting Services
ADI,02/18/2026,Technology,Semiconductors
CF,02/18/2026,Basic Materials,Agricultural Inputs
GPN,02/18/2026,Industrials,Specialty Business Services
CVNA,02/18/2026,Consumer Cyclical,Auto and Truck Dealerships
BKNG,02/18/2026,Consumer Cyclical,Travel Services
EBAY,02/18/2026,Consumer Cyclical,Internet Retail
CSTM,02/18/2026,Basic Materials,Unknown
CRH,02/18/2026,Basic Materials,Building Materials
MCO,02/18/2026,Financials,Financial Data and Stock Exchanges
OXY,02/18/2026,Energy,Oil and Gas E&P
WING,02/18/2026,Consumer Cyclical,Restaurants
AGI,02/18/2026,Basic Materials,Gold Miners
DASH,02/18/2026,Communication Services,Internet Content and Information
AWK,02/18/2026,Utilities,Regulated Water
SO,02/19/2026,Utilities,Regulated Electric
LYV,02/19/2026,Communication Services,Entertainment
CPRT,02/19/2026,Industrials,Specialty Business Services
DE,02/19/2026,Industrials,Farm and Heavy Construction Machinery
PWR,02/19/2026,Industrials,Engineering and Construction
TECK,02/19/2026,Basic Materials,Other Industrial Metals and Mining
LKQ,02/19/2026,Consumer Cyclical,Auto Parts
CENX,02/19/2026,Basic Materials,Aluminum
EXR,02/19/2026,Real Estate,Real Estate
NEM,02/19/2026,Basic Materials,Gold Miners
CNP,02/19/2026,Utilities,Regulated Electric
ED,02/19/2026,Utilities,Regulated Electric
W,02/19/2026,Consumer Cyclical,Internet Retail
ETSY,02/19/2026,Consumer Cyclical,Internet Retail
WMT,02/19/2026,Consumer Defensive,Discount Stores
FND,02/19/2026,Consumer Cyclical,Home Improvement Retail
PPL,02/20/2026,Utilities,Regulated Electric
DPZ,02/23/2026,Consumer Cyclical,Restaurants
FANG,02/23/2026,Energy,Oil and Gas E&P
ALSN,02/23/2026,Consumer Cyclical,Auto Parts
HIMS,02/23/2026,Consumer Defensive,Household and Personal Products
OKE,02/23/2026,Energy,Oil and Gas Midstream
D,02/23/2026,Utilities,Regulated Electric
HD,02/24/2026,Consumer Cyclical,Home Improvement Retail
EXPD,02/24/2026,Industrials,Integrated Freight and Logistics
NRG,02/24/2026,Utilities,Independant Power Providers
MOS,02/24/2026,Basic Materials,Agricultural Inputs
WDAY,02/24/2026,Technology,Software Application
BABA,02/24/2026,Consumer Cyclical,Internet Retail
TEM,02/24/2026,Healthcare,Health Information Services
AMT,02/24/2026,Real Estate,Real Estate
EOG,02/24/2026,Energy,Oil and Gas E&P
MELI,02/24/2026,Consumer Cyclical,Internet Retail
CEG,02/24/2026,Utilities,Renewable
FSLR,02/24/2026,Technology,Solar
