Stock,Earnings Date,Sector,Industry
BRO,01/26/2026,Financials,Insurance Brokers
NUE,01/26/2026,Basic Materials,Steel
BA,01/27/2026,Industrials,Aerospace and Defense
SCCO,01/27/2026,Basic Materials,Copper
PPG,01/27/2026,Basic Materials,Specialty Chemicals
NOC,01/27/2026,Industrials,Aerospace and Defense
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
RTX,01/27/2026,Industrials,Aerospace and Defense
UNP,01/27/2026,Industrials,Railroads
UNH,01/27/2026,Healthcare,Healthcare Plans
GM,01/27/2026,Consumer Cyclical,Auto Manufacturers
UPS,01/27/2026,Industrials,Integrated Freight and Logistics
NEE,01/27/2026,Utilities,Regulated Electric
TXN,01/27/2026,Technology,Semiconductors
SYF,01/27/2026,Financials,Credit Services
ROP,01/27/2026,Technology,Software Application
QRVO,01/27/2026,Technology,Semiconductors
CHRW,01/28/2026,Industrials,Integrated Freight and Logistics
GD,01/28/2026,Industrials,Aerospace and Defense
GEV,01/28/2026,Industrials,Special Industrial Machinery
LVS,01/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
ELV,01/28/2026,Healthcare,Healthcare Plans
LUV,01/28/2026,Industrials,Airlines
WHR,01/28/2026,Consumer Cyclical,Furnishings/Fixtures/Appliances
META,01/28/2026,Communication Services,Internet Content and Information
DHR,01/28/2026,Healthcare,Diagnostics and Research
T,01/28/2026,Communication Services,Telecom Services
NOW,01/28/2026,Technology,Software Application
TSLA,01/28/2026,Consumer Cyclical,Auto Manufacturers
MSFT,01/28/2026,Technology,Software Infastructure
LRCX,01/28/2026,Technology,Semiconductors Equipment and Materials
URI,01/28/2026,Industrials,Rental and Leasing Services
WM,01/28/2026,Industrials,Waste Management
SBUX,01/28/2026,Consumer Cyclical,Restaurants
ADP,01/28/2026,Technology,Software Application
APH,01/28/2026,Technology,Electronic Components
ASML,01/28/2026,Technology,Semiconductors Equipment and Materials
GLW,01/28/2026,Technology,Electronic Components
IBM,01/28/2026,Technology,Information Technology
PGR,01/28/2026,Financials,Insurance Propery and Casualty
OTIS,01/28/2026,Industrials,Special Industrial Machinery
BX,01/29/2026,Financials,Unknown
TSCO,01/29/2026,Consumer Cyclical,Specialty Retail
CNX,01/29/2026,Energy,Oil and Gas E&P
MO,01/29/2026,Consumer Defensive,Tobacco
RCL,01/29/2026,Consumer Cyclical,Travel Services
PHM,01/29/2026,Consumer Cyclical,Residential Construction
VLO,01/29/2026,Energy,Oil and Gas Refining and Marketing
MA,01/29/2026,Financials,Credit Services
CMCSA,01/29/2026,Communication Services,Telecom Services
RMD,01/29/2026,Healthcare,Medical Instruments and Supplies
SYK,01/29/2026,Healthcare,Medical Devices
TMO,01/29/2026,Healthcare,Diagnostics and Research
CAT,01/29/2026,Industrials,Farm and Heavy Construction Machinery
LMT,01/29/2026,Industrials,Aerospace and Defense
NSC,01/29/2026,Industrials,Railroads
PH,01/29/2026,Industrials,Special Industrial Machinery
TT,01/29/2026,Industrials,Building Products and Equipment
AAPL,01/29/2026,Technology,Consumer Electronics
KLAC,01/29/2026,Technology,Semiconductors Equipment and Materials
SAP,01/29/2026,Technology,Information Technology
MMC,01/29/2026,Financials,Insurance Brokers
HON,01/29/2026,Industrials,Conglomerates
V,01/29/2026,Financials,Credit Services
DOW,01/29/2026,Basic Materials,Chemicals
DECK,01/29/2026,Consumer Cyclical,Footwear and Accesories
SHW,01/29/2026,Basic Materials,Specialty Chemicals
VZ,01/30/2026,Communication Services,Telecom Services
CVX,01/30/2026,Energy,Oil and Gas Intergrated
XOM,01/30/2026,Energy,Oil and Gas Intergrated
LYB,01/30/2026,Basic Materials,Specialty Chemicals
AXP,01/30/2026,Financials,Credit Services
AON,01/30/2026,Financials,Insurance Brokers
SOFI,01/30/2026,Financials,Credit Services
CL,01/30/2026,Consumer Defensive,Household and Personal Products
APD,01/30/2026,Basic Materials,Specialty Chemicals
PLTR,02/02/2026,Technology,Software Infastructure
DIS,02/02/2026,Communication Services,Entertainment
SPG,02/02/2026,Real Estate,Real Estate
NXPI,02/02/2026,Technology,Semiconductors
TER,02/02/2026,Technology,Semiconductors Equipment and Materials
PFE,02/03/2026,Healthcare,Drug Manufacturers - General
AMD,02/03/2026,Technology,Semiconductors
CTVA,02/03/2026,Basic Materials,Agricultural Inputs
SMCI,02/03/2026,Technology,Computer Hardware
CRUS,02/03/2026,Technology,Semiconductors
MPC,02/03/2026,Energy,Oil and Gas Refining and Marketing
MRK,02/03/2026,Healthcare,Drug Manufacturers - General
SWKS,02/03/2026,Technology,Semiconductors
PEP,02/03/2026,Consumer Defensive,Beverages
AMGN,02/03/2026,Healthcare,Drug Manufacturers - General
TDG,02/03/2026,Industrials,Aerospace and Defense
IT,02/03/2026,Technology,Information Technology
PRU,02/03/2026,Financials,Insurance Life
J,02/03/2026,Industrials,Engineering and Construction
ITW,02/03/2026,Industrials,Special Industrial Machinery
PYPL,02/03/2026,Financials,Credit Services
ETN,02/03/2026,Industrials,Special Industrial Machinery
TTWO,02/03/2026,Communication Services,Electronic Gaming and Multimedia
EMR,02/03/2026,Industrials,Special Industrial Machinery
ATO,02/03/2026,Utilities,Regulated Gas
CB,02/03/2026,Financials,Insurance Propery and Casualty
CMG,02/03/2026,Consumer Cyclical,Restaurants
AFL,02/04/2026,Financials,Insurance Life
BOOT,02/04/2026,Consumer Cyclical,Apparel Retail
PSX,02/04/2026,Energy,Oil and Gas Refining and Marketing
ABBV,02/04/2026,Healthcare,Drug Manufacturers - General
CME,02/04/2026,Financials,Financial Data and Stock Exchanges
FLEX,02/04/2026,Technology,Electronic Components
ALL,02/04/2026,Financials,Insurance Propery and Casualty
MET,02/04/2026,Financials,Insurance Life
GOOGL,02/04/2026,Communication Services,Internet Content and Information
UBER,02/04/2026,Technology,Software Application
VVV,02/04/2026,Consumer Cyclical,Auto and Truck Dealerships
QCOM,02/04/2026,Technology,Semiconductors
ORLY,02/04/2026,Consumer Cyclical,Specialty Retail
YUM,02/04/2026,Consumer Cyclical,Restaurants
CCI,02/04/2026,Real Estate,Real Estate
ELF,02/04/2026,Consumer Defensive,Household and Personal Products
ARM,02/04/2026,Technology,Semiconductors
BSX,02/04/2026,Healthcare,Medical Devices
UHAL,02/04/2026,Industrials,Rental and Leasing Services
GOOG,02/04/2026,Communication Services,Internet Content and Information
JCI,02/04/2026,Industrials,Building Products and Equipment
LLY,02/04/2026,Healthcare,Drug Manufacturers - General
EFX,02/04/2026,Industrials,Consulting Services
LIN,02/05/2026,Basic Materials,Specialty Chemicals
FTNT,02/05/2026,Technology,Software Infastructure
AFRM,02/05/2026,Technology,Software Infastructure
AMZN,02/05/2026,Consumer Cyclical,Internet Retail
CI,02/05/2026,Healthcare,Healthcare Plans
XEL,02/05/2026,Utilities,Regulated Electric
BMY,02/05/2026,Healthcare,Drug Manufacturers - General
DLR,02/05/2026,Real Estate,Real Estate
CARR,02/05/2026,Industrials,Building Products and Equipment
ROK,02/05/2026,Industrials,Special Industrial Machinery
HSY,02/05/2026,Consumer Defensive,Confectioners
COP,02/05/2026,Energy,Oil and Gas E&P
MSTR,02/05/2026,Technology,Software Application
RBLX,02/05/2026,Communication Services,Electronic Gaming and Multimedia
MPWR,02/05/2026,Technology,Semiconductors
MCHP,02/05/2026,Technology,Semiconductors
KKR,02/05/2026,Financials,Asset Management
ICE,02/05/2026,Financials,Financial Data and Stock Exchanges
AER,02/06/2026,Industrials,Rental and Leasing Services
PM,02/06/2026,Consumer Defensive,Tobacco
ON,02/09/2026,Technology,Semiconductors
CLF,02/09/2026,Basic Materials,Steel
DUK,02/10/2026,Utilities,Regulated Electric
Z,02/10/2026,Communication Services,Internet Content and Information
GILD,02/10/2026,Healthcare,Drug Manufacturers - General
EW,02/10/2026,Healthcare,Medical Devices
CVS,02/10/2026,Consumer Cyclical,Healthcare Plans
MAR,02/10/2026,Consumer Cyclical,Lodging
TRMB,02/10/2026,Technology,Scientific and Technical Instruments
LYFT,02/10/2026,Technology,Software Application
HOOD,02/10/2026,Financials,Capital Markets
SPOT,02/10/2026,Communication Services,Internet Content and Information
KO,02/10/2026,Consumer Defensive,Beverages
WELL,02/10/2026,Real Estate,Real Estate
DD,02/10/2026,Basic Materials,Specialty Chemicals
LSCC,02/10/2026,Technology,Semiconductors
F,02/10/2026,Consumer Cyclical,Auto Manufacturers
UPST,02/10/2026,Financials,Credit Services
NET,02/10/2026,Technology,Software Infastructure
SPGI,02/10/2026,Financials,Financial Data and Stock Exchanges
ENTG,02/10/2026,Technology,Semiconductors Equipment and Materials
DDOG,02/10/2026,Technology,Software Application
