Stock,Earnings Date,Sector,Industry
NKE,12/18/2025,Consumer Cyclical,Footwear and Accesories
KBH,12/18/2025,Consumer Cyclical,Residential Construction
KMX,12/18/2025,Consumer Cyclical,Auto and Truck Dealerships
FDX,12/18/2025,Industrials,Integrated Freight and Logistics
CTAS,12/18/2025,Industrials,Specialty Business Services
JPM,01/13/2026,Financials,Banks Diversified
BK,01/13/2026,Financials,Banks Diversified
DAL,01/13/2026,Industrials,Airlines
WFC,01/14/2026,Financials,Banks Diversified
BAC,01/14/2026,Financials,Banks Diversified
INFY,01/14/2026,Technology,Information Technology
C,01/14/2026,Financials,Banks Diversified
GS,01/15/2026,Financials,Capital Markets
MS,01/15/2026,Financials,Capital Markets
JBHT,01/15/2026,Industrials,Integrated Freight and Logistics
TSM,01/15/2026,Technology,Semiconductors
BLK,01/15/2026,Financials,Asset Management
RF,01/16/2026,Financials,Banks Regional
PNC,01/16/2026,Financials,Banks Regional
STT,01/16/2026,Financials,Asset Management
FAST,01/19/2026,Industrials,Industrial Distribution
MMM,01/20/2026,Industrials,Conglomerates
ONB,01/20/2026,Financials,Banks Regional
DHI,01/20/2026,Consumer Cyclical,Residential Construction
USB,01/20/2026,Financials,Banks Regional
UAL,01/20/2026,Industrials,Airlines
TXN,01/20/2026,Technology,Semiconductors
NFLX,01/20/2026,Communication Services,Entertainment
TFC,01/21/2026,Financials,Banks Regional
TRV,01/21/2026,Financials,Insurance Propery and Casualty
ABT,01/21/2026,Healthcare,Medical Devices
TEL,01/21/2026,Technology,Electronic Components
JNJ,01/21/2026,Healthcare,Drug Manufacturers - General
GEV,01/21/2026,Industrials,Special Industrial Machinery
SCHW,01/21/2026,Financials,Capital Markets
PLD,01/21/2026,Real Estate,Real Estate
STLD,01/21/2026,Basic Materials,Steel
CFG,01/21/2026,Financials,Banks Regional
HAL,01/21/2026,Energy,Oil and Gas Equipment and Services
COF,01/22/2026,Financials,Credit Services
ISRG,01/22/2026,Healthcare,Medical Instruments and Supplies
PG,01/22/2026,Consumer Defensive,Household and Personal Products
ELV,01/22/2026,Healthcare,Healthcare Plans
HBAN,01/22/2026,Healthcare,Banks Regional
UNP,01/22/2026,Industrials,Railroads
CSX,01/22/2026,Industrials,Railroads
GE,01/22/2026,Industrials,Aerospace and Defense
FCX,01/22/2026,Basic Materials,Copper
AA,01/22/2026,Basic Materials,Aluminum
NEE,01/23/2026,Utilities,Regulated Electric
SLB,01/23/2026,Energy,Oil and Gas Equipment and Services
BRO,01/26/2026,Financials,Insurance Brokers
SOFI,01/26/2026,Financials,Credit Services
NUE,01/26/2026,Basic Materials,Steel
LMT,01/27/2026,Industrials,Aerospace and Defense
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
