Stock,Earnings Date,Sector,Industry
VRTX,08/04/2025,Healthcare,Biotechnology
PGR,08/04/2025,Financials,Insurance Propery and Casualty
SPG,08/04/2025,Real Estate,Real Estate
WMB,08/04/2025,Energy,Oil and Gas Midstream
ARMK,08/05/2025,Industrials,Specialty Business Services
J,08/05/2025,Industrials,Engineering and Construction
MOS,08/05/2025,Basic Materials,Agricultural Inputs
TDG,08/05/2025,Industrials,Aerospace and Defense
TOST,08/05/2025,Technology,Software Infastructure
SWKS,08/05/2025,Technology,Semiconductors
AMD,08/05/2025,Technology,Semiconductors
ANET,08/05/2025,Technology,Computer Hardware
AFL,08/05/2025,Financials,Insurance Life
MPC,08/05/2025,Energy,Oil and Gas Refining and Marketing
SMCI,08/05/2025,Technology,Computer Hardware
DVN,08/05/2025,Energy,Oil and Gas E&P
CRUS,08/05/2025,Technology,Semiconductors
YUM,08/05/2025,Consumer Cyclical,Restaurants
ZTS,08/05/2025,Healthcare,Drug Manufacturers - Specialty and Generic
RIVN,08/05/2025,Consumer Cyclical,Auto Manufacturers
IT,08/05/2025,Technology,Information Technology
UPST,08/05/2025,Financials,Credit Services
ZBRA,08/05/2025,Technology,Communication Equipment
MAR,08/05/2025,Consumer Cyclical,Lodging
DD,08/05/2025,Basic Materials,Specialty Chemicals
AMGN,08/05/2025,Healthcare,Drug Manufacturers - General
EXPD,08/05/2025,Industrials,Integrated Freight and Logistics
DUK,08/05/2025,Utilities,Regulated Electric
CRSP,08/05/2025,Healthcare,Biotechnology
ETN,08/05/2025,Industrials,Special Industrial Machinery
PEG,08/05/2025,Utilities,Regulated Electric
CAT,08/05/2025,Industrials,Farm and Heavy Construction Machinery
PFE,08/05/2025,Healthcare,Drug Manufacturers - General
BROS,08/06/2025,Consumer Cyclical,Restaurants
NRG,08/06/2025,Utilities,Independant Power Providers
SHOP,08/06/2025,Technology,Software Application
DKNG,08/06/2025,Consumer Cyclical,Resorts/Casinos/Gambling
OXY,08/06/2025,Energy,Oil and Gas E&P
ELF,08/06/2025,Consumer Defensive,Household and Personal Products
VVV,08/06/2025,Consumer Cyclical,Auto and Truck Dealerships
FTNT,08/06/2025,Technology,Software Infastructure
AZEK,08/06/2025,Industrials,Building Products and Equipment
DIS,08/06/2025,Communication Services,Entertainment
DASH,08/06/2025,Communication Services,Internet Content and Information
LYFT,08/06/2025,Technology,Software Application
MCD,08/06/2025,Consumer Cyclical,Restaurants
PSN,08/06/2025,Technology,Information Technology
APP,08/06/2025,Technology,Software Application
NI,08/06/2025,Utilities,Regulated Gas
ANSS,08/06/2025,Technology,Software Application
GPN,08/06/2025,Industrials,Specialty Business Services
ATO,08/06/2025,Utilities,Regulated Gas
CTVA,08/06/2025,Basic Materials,Agricultural Inputs
UBER,08/06/2025,Technology,Software Application
U,08/06/2025,Technology,Software Application
CRH,08/06/2025,Basic Materials,Building Materials
CF,08/06/2025,Basic Materials,Agricultural Inputs
ROK,08/06/2025,Industrials,Special Industrial Machinery
TRMB,08/06/2025,Technology,Scientific and Technical Instruments
Z,08/06/2025,Communication Services,Internet Content and Information
EMR,08/06/2025,Industrials,Special Industrial Machinery
UHAL,08/06/2025,Industrials,Rental and Leasing Services
ABNB,08/06/2025,Consumer Cyclical,Travel Services
MET,08/06/2025,Financials,Insurance Life
WYNN,08/07/2025,Consumer Cyclical,Resorts/Casinos/Gambling
DDOG,08/07/2025,Technology,Software Application
CELH,08/07/2025,Consumer Defensive,Beverages
MCHP,08/07/2025,Technology,Semiconductors
PH,08/07/2025,Industrials,Special Industrial Machinery
SN,08/07/2025,Consumer Cyclical,Furnishings/Fixtures/Appliances
MNST,08/07/2025,Consumer Defensive,Beverages
PZZA,08/07/2025,Consumer Cyclical,Restaurants
COP,08/07/2025,Energy,Oil and Gas E&P
PENN,08/07/2025,Consumer Cyclical,Resorts/Casinos/Gambling
SEZL,08/07/2025,Financials,Credit Services
GILD,08/07/2025,Healthcare,Drug Manufacturers - General
LLY,08/07/2025,Healthcare,Drug Manufacturers - General
EOG,08/07/2025,Energy,Oil and Gas E&P
VST,08/07/2025,Utilities,Independant Power Providers
XYZ,08/07/2025,Technology,Software Infastructure
TWLO,08/07/2025,Technology,Software Infastructure
MSI,08/07/2025,Technology,Communication Equipment
MP,08/07/2025,Basic Materials,Other Industrial Metals and Mining
GT,08/07/2025,Consumer Cyclical,Auto Parts
MLM,08/07/2025,Basic Materials,Building Materials
