Stock,Earnings Date,Sector,Industry
LEN,12/16/2025,Consumer Cyclical,Residential Construction
JBL,12/17/2025,Technology,Electronic Components
MU,12/17/2025,Technology,Semiconductors
FDX,12/18/2025,Industrials,Integrated Freight and Logistics
DRI,12/18/2025,Consumer Cyclical,Restaurants
KBH,12/18/2025,Consumer Cyclical,Residential Construction
CTAS,12/18/2025,Industrials,Specialty Business Services
NKE,12/18/2025,Consumer Cyclical,Footwear and Accesories
KMX,12/18/2025,Consumer Cyclical,Auto and Truck Dealerships
BIRK,12/18/2025,Consumer Cyclical,Footwear and Accesories
ACN,12/18/2025,Technology,Information Technology
CCL,12/19/2025,Consumer Cyclical,Travel Services
DAL,01/09/2026,Industrials,Airlines
BK,01/13/2026,Financials,Banks Diversified
JPM,01/13/2026,Financials,Banks Diversified
WFC,01/14/2026,Financials,Banks Diversified
BAC,01/14/2026,Financials,Banks Diversified
INFY,01/14/2026,Technology,Information Technology
C,01/14/2026,Financials,Banks Diversified
STT,01/15/2026,Financials,Asset Management
GS,01/15/2026,Financials,Capital Markets
JBHT,01/15/2026,Industrials,Integrated Freight and Logistics
TSM,01/15/2026,Technology,Semiconductors
MS,01/15/2026,Financials,Capital Markets
BLK,01/15/2026,Financials,Asset Management
PNC,01/16/2026,Financials,Banks Regional
RF,01/16/2026,Financials,Banks Regional
FAST,01/19/2026,Industrials,Industrial Distribution
UAL,01/20/2026,Industrials,Airlines
USB,01/20/2026,Financials,Banks Regional
MMM,01/20/2026,Industrials,Conglomerates
ONB,01/20/2026,Financials,Banks Regional
NFLX,01/20/2026,Communication Services,Entertainment
TXN,01/20/2026,Technology,Semiconductors
COF,01/20/2026,Financials,Credit Services
DHI,01/20/2026,Consumer Cyclical,Residential Construction
JNJ,01/21/2026,Healthcare,Drug Manufacturers - General
CFG,01/21/2026,Financials,Banks Regional
PLD,01/21/2026,Real Estate,Real Estate
GEV,01/21/2026,Industrials,Special Industrial Machinery
HAL,01/21/2026,Energy,Oil and Gas Equipment and Services
TFC,01/21/2026,Financials,Banks Regional
STLD,01/21/2026,Basic Materials,Steel
TEL,01/21/2026,Technology,Electronic Components
ABT,01/21/2026,Healthcare,Medical Devices
SCHW,01/21/2026,Financials,Capital Markets
TRV,01/21/2026,Financials,Insurance Propery and Casualty
AA,01/21/2026,Basic Materials,Aluminum
CSX,01/22/2026,Industrials,Railroads
FCX,01/22/2026,Basic Materials,Copper
ISRG,01/22/2026,Healthcare,Medical Instruments and Supplies
ELV,01/22/2026,Healthcare,Healthcare Plans
UNP,01/22/2026,Industrials,Railroads
HBAN,01/22/2026,Healthcare,Banks Regional
PG,01/22/2026,Consumer Defensive,Household and Personal Products
GE,01/22/2026,Industrials,Aerospace and Defense
NEE,01/23/2026,Utilities,Regulated Electric
AXP,01/23/2026,Financials,Credit Services
SLB,01/23/2026,Energy,Oil and Gas Equipment and Services
BRO,01/26/2026,Financials,Insurance Brokers
NUE,01/26/2026,Basic Materials,Steel
SOFI,01/26/2026,Financials,Credit Services
UNH,01/27/2026,Healthcare,Healthcare Plans
SYK,01/27/2026,Healthcare,Medical Devices
V,01/27/2026,Financials,Credit Services
CB,01/27/2026,Financials,Insurance Propery and Casualty
SYF,01/27/2026,Financials,Credit Services
LMT,01/27/2026,Industrials,Aerospace and Defense
UPS,01/27/2026,Industrials,Integrated Freight and Logistics
GM,01/27/2026,Consumer Cyclical,Auto Manufacturers
RTX,01/27/2026,Industrials,Aerospace and Defense
RCL,01/27/2026,Consumer Cyclical,Travel Services
SBUX,01/27/2026,Consumer Cyclical,Restaurants
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
NOC,01/27/2026,Industrials,Aerospace and Defense
QRVO,01/27/2026,Technology,Semiconductors
NOW,01/28/2026,Technology,Software Application
MSFT,01/28/2026,Technology,Software Infastructure
ASML,01/28/2026,Technology,Semiconductors Equipment and Materials
CLF,01/28/2026,Basic Materials,Steel
LRCX,01/28/2026,Technology,Semiconductors Equipment and Materials
T,01/28/2026,Communication Services,Telecom Services
IBM,01/28/2026,Technology,Information Technology
DHR,01/28/2026,Healthcare,Diagnostics and Research
META,01/28/2026,Communication Services,Internet Content and Information
TER,01/28/2026,Technology,Semiconductors Equipment and Materials
GLW,01/28/2026,Technology,Electronic Components
FLEX,01/28/2026,Technology,Electronic Components
PGR,01/28/2026,Financials,Insurance Propery and Casualty
APH,01/28/2026,Technology,Electronic Components
OTIS,01/28/2026,Industrials,Special Industrial Machinery
GD,01/28/2026,Industrials,Aerospace and Defense
WHR,01/28/2026,Consumer Cyclical,Furnishings/Fixtures/Appliances
NSC,01/28/2026,Industrials,Railroads
TSLA,01/28/2026,Consumer Cyclical,Auto Manufacturers
CHRW,01/28/2026,Industrials,Integrated Freight and Logistics
ADP,01/28/2026,Technology,Software Application
BA,01/28/2026,Industrials,Aerospace and Defense
LVS,01/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
URI,01/28/2026,Industrials,Rental and Leasing Services
WM,01/28/2026,Industrials,Waste Management
CCI,01/28/2026,Real Estate,Real Estate
KLAC,01/29/2026,Technology,Semiconductors Equipment and Materials
PH,01/29/2026,Industrials,Special Industrial Machinery
TMO,01/29/2026,Healthcare,Diagnostics and Research
TT,01/29/2026,Industrials,Building Products and Equipment
CAT,01/29/2026,Industrials,Farm and Heavy Construction Machinery
ROP,01/29/2026,Technology,Software Application
SAP,01/29/2026,Technology,Information Technology
LUV,01/29/2026,Industrials,Airlines
INTC,01/29/2026,Technology,Semiconductors
AAPL,01/29/2026,Technology,Consumer Electronics
CMCSA,01/29/2026,Communication Services,Telecom Services
CNX,01/29/2026,Energy,Oil and Gas E&P
DECK,01/29/2026,Consumer Cyclical,Footwear and Accesories
PPG,01/29/2026,Basic Materials,Specialty Chemicals
PHM,01/29/2026,Consumer Cyclical,Residential Construction
DOW,01/29/2026,Basic Materials,Chemicals
TSCO,01/29/2026,Consumer Cyclical,Specialty Retail
MO,01/29/2026,Consumer Defensive,Tobacco
VLO,01/29/2026,Energy,Oil and Gas Refining and Marketing
BX,01/29/2026,Financials,Unknown
