ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
SN,16.4803,-0.5758,11.7722,-5.0731,6.2155,-7.1205,13.8269,4.609,6.2155,100.0,39.15,83.9,74.35
C,26.8988,-71.0646,5.7583,-6.4352,3.9313,-7.9672,9.0988,5.7583,3.9313,100.0,100.0,33.83,77.94
PEP,11.1747,-5.766,5.8835,-6.7906,3.343,-6.6339,-5.3764,-2.7437,3.343,100.0,-46.63,-48.11,1.75
CAT,45.0262,-5.8855,27.2847,-16.7489,14.8622,-14.9169,33.3073,16.629,14.8622,100.0,60.95,73.97,78.31
RF,2.1808,-3.8768,1.8441,-1.3513,0.9195,-1.5986,1.5183,0.8492,0.9195,100.0,46.05,69.62,71.89
SNPS,68.5028,-2.2393,34.2643,-29.2999,29.0839,-24.6719,23.6567,21.2583,29.0839,100.0,62.04,34.53,65.53
MP,8.6162,-4.1808,7.8718,-3.1176,8.4652,-3.3161,3.7162,7.8718,8.4652,100.0,100.0,43.13,81.04
TSCO,5.8507,-0.952,3.1863,-1.2594,1.6804,-1.9404,3.0583,0.7934,1.6338,97.23,24.9,52.27,58.13
FAST,4.1295,-0.1575,2.4284,-0.8722,1.4029,-1.1386,4.1295,1.9778,1.3581,96.81,81.44,100.0,92.75
KKR,25.5799,-1.1885,13.9036,-8.4863,5.7325,-9.6963,17.2365,3.4687,5.4069,94.32,24.95,67.38,62.22
ANET,18.674,-0.0873,9.6479,-6.9509,4.8829,-8.256,13.5894,3.6557,4.5315,92.8,37.89,72.77,67.82
TDG,184.9228,-0.1684,87.9505,-49.3219,38.315,-73.3351,182.9677,66.5339,35.2223,91.93,75.65,98.94,88.84
CFG,4.543,-2.5848,3.5838,-3.5752,1.943,-4.0908,3.3947,1.777,1.7773,91.47,49.58,74.72,71.93
TEL,16.5855,-4.5662,10.256,-6.6129,6.4687,-8.5812,11.254,10.256,5.8864,91.0,100.0,67.85,86.28
COIN,42.1136,-63.5864,41.4991,-46.7274,34.1369,-25.6705,42.1136,41.4991,30.8911,90.49,100.0,100.0,96.83
BX,21.2434,-2.0103,16.0505,-7.6471,7.9045,-8.0999,14.1444,2.7281,7.0826,89.6,17.0,66.58,57.73
RCL,51.4879,-14.0006,33.1573,-22.3582,21.7202,-21.789,51.4879,33.1573,19.4466,89.53,100.0,100.0,96.51
