Stock,Earnings Date,Sector,Industry
PSA,04/27/2026,Financials,Real Estate
KO,04/28/2026,Consumer Defensive,Beverages
NXPI,04/28/2026,Technology,Semiconductors
PCAR,04/28/2026,Industrials,Farm and Heavy Construction Machinery
PPG,04/28/2026,Basic Materials,Specialty Chemicals
OKE,04/28/2026,Energy,Oil and Gas Midstream
SHW,04/28/2026,Basic Materials,Specialty Chemicals
IR,04/28/2026,Industrials,Special Industrial Machinery
ECL,04/28/2026,Basic Materials,Specialty Chemicals
HOOD,04/28/2026,Financials,Capital Markets
FE,04/28/2026,Utilities,Regulated Electric
CZR,04/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
GM,04/28/2026,Consumer Cyclical,Auto Manufacturers
UPS,04/28/2026,Industrials,Integrated Freight and Logistics
TER,04/28/2026,Technology,Semiconductors Equipment and Materials
SBUX,04/28/2026,Consumer Cyclical,Restaurants
WM,04/28/2026,Industrials,Waste Management
TMUS,04/28/2026,Communication Services,Telecom Services
HLT,04/28/2026,Consumer Cyclical,Lodging
SPOT,04/28/2026,Communication Services,Internet Content and Information
AMT,04/28/2026,Real Estate,Real Estate
WELL,04/28/2026,Real Estate,Real Estate
BKNG,04/28/2026,Consumer Cyclical,Travel Services
SPGI,04/28/2026,Financials,Financial Data and Stock Exchanges
EXR,04/28/2026,Real Estate,Real Estate
V,04/28/2026,Financials,Credit Services
GLW,04/28/2026,Technology,Electronic Components
VRSK,04/29/2026,Industrials,Consulting Services
CMG,04/29/2026,Consumer Cyclical,Restaurants
ADP,04/29/2026,Technology,Software Application
YUM,04/29/2026,Consumer Cyclical,Restaurants
PSN,04/29/2026,Technology,Information Technology
VMC,04/29/2026,Basic Materials,Building Materials
APH,04/29/2026,Technology,Electronic Components
QCOM,04/29/2026,Technology,Semiconductors
AMZN,04/29/2026,Consumer Cyclical,Internet Retail
PSX,04/29/2026,Energy,Oil and Gas Refining and Marketing
CWH,04/29/2026,Consumer Cyclical,Auto and Truck Dealerships
JKS,04/29/2026,Technology,Solar
KLAC,04/29/2026,Technology,Semiconductors Equipment and Materials
EBAY,04/29/2026,Consumer Cyclical,Internet Retail
AFL,04/29/2026,Financials,Insurance Life
ABBV,04/29/2026,Healthcare,Drug Manufacturers - General
GOOG,04/29/2026,Communication Services,Internet Content and Information
GOOGL,04/29/2026,Communication Services,Internet Content and Information
MGM,04/29/2026,Consumer Cyclical,Resorts/Casinos/Gambling
META,04/29/2026,Communication Services,Internet Content and Information
HUM,04/29/2026,Healthcare,Healthcare Plans
ORLY,04/29/2026,Consumer Cyclical,Specialty Retail
MSFT,04/29/2026,Technology,Software Infastructure
SOFI,04/29/2026,Financials,Credit Services
AWK,04/29/2026,Utilities,Regulated Water
CVNA,04/29/2026,Consumer Cyclical,Auto and Truck Dealerships
AER,04/29/2026,Industrials,Rental and Leasing Services
F,04/29/2026,Consumer Cyclical,Auto Manufacturers
CSTM,04/29/2026,Basic Materials,Unknown
ETSY,04/29/2026,Consumer Cyclical,Internet Retail
CHRW,04/29/2026,Industrials,Integrated Freight and Logistics
GD,04/29/2026,Industrials,Aerospace and Defense
WING,04/29/2026,Consumer Cyclical,Restaurants
ALL,04/29/2026,Financials,Insurance Propery and Casualty
AGI,04/29/2026,Basic Materials,Gold Miners
BMY,04/30/2026,Healthcare,Drug Manufacturers - General
RIVN,04/30/2026,Consumer Cyclical,Auto Manufacturers
RCL,04/30/2026,Consumer Cyclical,Travel Services
