ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
CHRW,6.5921,-4.0832,6.9996,-3.7665,6.0852,-3.9988,6.3071,6.677,5.9108,97.13,95.39,95.68,96.07
BWA,5.6677,-3.8125,2.7812,-3.5227,1.9605,-2.9208,0.1175,2.7812,1.8023,91.93,100.0,2.07,64.67
RY,10.9902,-1.9318,6.2733,-4.0347,3.5523,-5.3006,10.9902,5.6696,3.2503,91.5,90.38,100.0,93.96
GOOGL,20.7213,-1.7434,11.6503,-7.4615,6.0608,-7.0501,15.5624,9.4144,5.5253,91.16,80.81,75.1,82.36
AZO,377.4566,-27.6818,156.9666,-69.1944,102.409,-82.114,377.4566,156.9666,93.1027,90.91,100.0,100.0,96.97
GOOG,20.8494,-1.7145,11.69,-7.5014,6.065,-7.0188,15.5884,9.17,5.4678,90.15,78.44,74.77,81.12
LOW,29.9748,-1.8445,15.2973,-10.3014,8.8846,-12.0317,7.9189,4.1077,7.7892,87.67,26.85,26.42,46.98
EXPE,19.2405,-11.9354,18.7707,-21.5298,9.3746,-16.1392,16.2464,10.5008,8.021,85.56,55.94,84.44,75.31
HUM,38.4951,-47.8618,23.2171,-38.7462,17.0685,-30.6677,-41.354,4.3808,14.5793,85.42,18.87,-107.43,-1.05
URI,120.5141,-5.2625,64.5031,-42.3132,36.4894,-35.9368,90.334,61.4976,31.0202,85.01,95.34,74.96,85.1
CRH,13.5058,-1.9934,7.3473,-2.4526,4.7107,-4.292,11.2287,4.4574,3.9546,83.95,60.67,83.14,75.92
PHM,20.798,-4.5012,9.0821,-6.5676,5.2455,-6.1439,8.9644,5.2595,4.3927,83.74,57.91,43.1,61.59
TJX,12.7923,-0.1984,5.4015,-2.8319,3.2663,-5.6523,12.1128,3.1489,2.7212,83.31,58.3,94.69,78.77
FAST,4.2719,-0.2211,2.8629,-1.0135,1.5018,-1.1283,4.2719,2.8629,1.1852,78.92,100.0,100.0,92.97
MO,6.4548,-2.0306,3.1097,-1.8369,2.0145,-1.9928,6.4548,3.1097,1.5886,78.86,100.0,100.0,92.95
MSI,57.971,-11.0309,32.1813,-8.5971,11.6274,-12.032,41.2093,7.4796,9.0191,77.57,23.24,71.09,57.3
NEM,7.0608,-5.3641,6.0963,-5.886,3.5238,-4.2528,5.1135,6.0963,2.7111,76.94,100.0,72.42,83.12
TOL,24.6187,-2.5196,11.5452,-10.5626,6.1924,-7.7112,9.5814,4.6001,4.6653,75.34,39.84,38.92,51.37
TSCO,5.8288,-0.9484,3.1744,-1.2547,1.7016,-1.9332,3.3606,2.144,1.2739,74.86,67.54,57.66,66.69
