Stock,Earnings Date,Sector,Industry
FAST,07/14/2025,Industrials,Industrial Distribution
C,07/15/2025,Financials,Banks Diversified
WFC,07/15/2025,Financials,Banks Diversified
STT,07/15/2025,Financials,Asset Management
BK,07/15/2025,Financials,Banks Diversified
BLK,07/15/2025,Financials,Asset Management
JBHT,07/15/2025,Industrials,Integrated Freight and Logistics
JPM,07/15/2025,Financials,Banks Diversified
BAC,07/16/2025,Financials,Banks Diversified
ASML,07/16/2025,Technology,Semiconductors Equipment and Materials
JNJ,07/16/2025,Healthcare,Drug Manufacturers - General
MS,07/16/2025,Financials,Capital Markets
PNC,07/16/2025,Financials,Banks Regional
UAL,07/16/2025,Industrials,Airlines
PLD,07/16/2025,Real Estate,Real Estate
GS,07/16/2025,Financials,Capital Markets
AA,07/16/2025,Basic Materials,Aluminum
GE,07/17/2025,Industrials,Aerospace and Defense
TRV,07/17/2025,Financials,Insurance Propery and Casualty
CTAS,07/17/2025,Industrials,Specialty Business Services
CFG,07/17/2025,Financials,Banks Regional
MMC,07/17/2025,Financials,Insurance Brokers
ELV,07/17/2025,Healthcare,Healthcare Plans
USB,07/17/2025,Financials,Banks Regional
PEP,07/17/2025,Consumer Defensive,Beverages
TSM,07/17/2025,Technology,Semiconductors
ABT,07/17/2025,Healthcare,Medical Devices
NFLX,07/17/2025,Communication Services,Entertainment
AXP,07/18/2025,Financials,Credit Services
TFC,07/18/2025,Financials,Banks Regional
SLB,07/18/2025,Energy,Oil and Gas Equipment and Services
HBAN,07/18/2025,Healthcare,Banks Regional
MMM,07/18/2025,Industrials,Conglomerates
SCHW,07/18/2025,Financials,Capital Markets
RF,07/18/2025,Financials,Banks Regional
VZ,07/21/2025,Communication Services,Telecom Services
STLD,07/21/2025,Basic Materials,Steel
NXPI,07/21/2025,Technology,Semiconductors
ROP,07/21/2025,Technology,Software Application
CLF,07/21/2025,Basic Materials,Steel
DPZ,07/21/2025,Consumer Cyclical,Restaurants
