Stock,Earnings Date,Sector,Industry
BRO,01/26/2026,Financials,Insurance Brokers
STLD,01/26/2026,Basic Materials,Steel
NUE,01/26/2026,Basic Materials,Steel
BA,01/27/2026,Industrials,Aerospace and Defense
SCCO,01/27/2026,Basic Materials,Copper
PPG,01/27/2026,Basic Materials,Specialty Chemicals
NOC,01/27/2026,Industrials,Aerospace and Defense
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
RTX,01/27/2026,Industrials,Aerospace and Defense
UNH,01/27/2026,Healthcare,Healthcare Plans
UPS,01/27/2026,Industrials,Integrated Freight and Logistics
GM,01/27/2026,Consumer Cyclical,Auto Manufacturers
QRVO,01/27/2026,Technology,Semiconductors
NEE,01/27/2026,Utilities,Regulated Electric
TXN,01/27/2026,Technology,Semiconductors
SYF,01/27/2026,Financials,Credit Services
ROP,01/27/2026,Technology,Software Application
UNP,01/27/2026,Industrials,Railroads
WM,01/28/2026,Industrials,Waste Management
GLW,01/28/2026,Technology,Electronic Components
ASML,01/28/2026,Technology,Semiconductors Equipment and Materials
APH,01/28/2026,Technology,Electronic Components
ADP,01/28/2026,Technology,Software Application
META,01/28/2026,Communication Services,Internet Content and Information
CHRW,01/28/2026,Industrials,Integrated Freight and Logistics
GD,01/28/2026,Industrials,Aerospace and Defense
GEV,01/28/2026,Industrials,Special Industrial Machinery
LVS,01/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
SBUX,01/28/2026,Consumer Cyclical,Restaurants
ELV,01/28/2026,Healthcare,Healthcare Plans
WHR,01/28/2026,Consumer Cyclical,Furnishings/Fixtures/Appliances
T,01/28/2026,Communication Services,Telecom Services
OTIS,01/28/2026,Industrials,Special Industrial Machinery
NOW,01/28/2026,Technology,Software Application
PGR,01/28/2026,Financials,Insurance Propery and Casualty
MSFT,01/28/2026,Technology,Software Infastructure
TSLA,01/28/2026,Consumer Cyclical,Auto Manufacturers
LRCX,01/28/2026,Technology,Semiconductors Equipment and Materials
DHR,01/28/2026,Healthcare,Diagnostics and Research
URI,01/28/2026,Industrials,Rental and Leasing Services
LUV,01/28/2026,Industrials,Airlines
IBM,01/28/2026,Technology,Information Technology
BX,01/29/2026,Financials,Unknown
TSCO,01/29/2026,Consumer Cyclical,Specialty Retail
CNX,01/29/2026,Energy,Oil and Gas E&P
MO,01/29/2026,Consumer Defensive,Tobacco
RCL,01/29/2026,Consumer Cyclical,Travel Services
PHM,01/29/2026,Consumer Cyclical,Residential Construction
VLO,01/29/2026,Energy,Oil and Gas Refining and Marketing
MA,01/29/2026,Financials,Credit Services
CMCSA,01/29/2026,Communication Services,Telecom Services
RMD,01/29/2026,Healthcare,Medical Instruments and Supplies
SYK,01/29/2026,Healthcare,Medical Devices
TMO,01/29/2026,Healthcare,Diagnostics and Research
CAT,01/29/2026,Industrials,Farm and Heavy Construction Machinery
LMT,01/29/2026,Industrials,Aerospace and Defense
NSC,01/29/2026,Industrials,Railroads
PH,01/29/2026,Industrials,Special Industrial Machinery
TT,01/29/2026,Industrials,Building Products and Equipment
AAPL,01/29/2026,Technology,Consumer Electronics
KLAC,01/29/2026,Technology,Semiconductors Equipment and Materials
SAP,01/29/2026,Technology,Information Technology
MMC,01/29/2026,Financials,Insurance Brokers
HON,01/29/2026,Industrials,Conglomerates
V,01/29/2026,Financials,Credit Services
SHW,01/29/2026,Basic Materials,Specialty Chemicals
DOW,01/29/2026,Basic Materials,Chemicals
DECK,01/29/2026,Consumer Cyclical,Footwear and Accesories
AXP,01/30/2026,Financials,Credit Services
AON,01/30/2026,Financials,Insurance Brokers
CL,01/30/2026,Consumer Defensive,Household and Personal Products
APD,01/30/2026,Basic Materials,Specialty Chemicals
XOM,01/30/2026,Energy,Oil and Gas Intergrated
VZ,01/30/2026,Communication Services,Telecom Services
SOFI,01/30/2026,Financials,Credit Services
LYB,01/30/2026,Basic Materials,Specialty Chemicals
CVX,01/30/2026,Energy,Oil and Gas Intergrated
PLTR,02/02/2026,Technology,Software Infastructure
DIS,02/02/2026,Communication Services,Entertainment
SPG,02/02/2026,Real Estate,Real Estate
NXPI,02/02/2026,Technology,Semiconductors
TER,02/02/2026,Technology,Semiconductors Equipment and Materials
MRK,02/03/2026,Healthcare,Drug Manufacturers - General
PEP,02/03/2026,Consumer Defensive,Beverages
PFE,02/03/2026,Healthcare,Drug Manufacturers - General
MPC,02/03/2026,Energy,Oil and Gas Refining and Marketing
AMGN,02/03/2026,Healthcare,Drug Manufacturers - General
CMG,02/03/2026,Consumer Cyclical,Restaurants
CB,02/03/2026,Financials,Insurance Propery and Casualty
PYPL,02/03/2026,Financials,Credit Services
PRU,02/03/2026,Financials,Insurance Life
SMCI,02/03/2026,Technology,Computer Hardware
ATO,02/03/2026,Utilities,Regulated Gas
EMR,02/03/2026,Industrials,Special Industrial Machinery
SWKS,02/03/2026,Technology,Semiconductors
ETN,02/03/2026,Industrials,Special Industrial Machinery
CTVA,02/03/2026,Basic Materials,Agricultural Inputs
IT,02/03/2026,Technology,Information Technology
AMD,02/03/2026,Technology,Semiconductors
TDG,02/03/2026,Industrials,Aerospace and Defense
CRUS,02/03/2026,Technology,Semiconductors
ITW,02/03/2026,Industrials,Special Industrial Machinery
TTWO,02/03/2026,Communication Services,Electronic Gaming and Multimedia
J,02/03/2026,Industrials,Engineering and Construction
ABBV,02/04/2026,Healthcare,Drug Manufacturers - General
UHAL,02/04/2026,Industrials,Rental and Leasing Services
CCI,02/04/2026,Real Estate,Real Estate
ORLY,02/04/2026,Consumer Cyclical,Specialty Retail
QCOM,02/04/2026,Technology,Semiconductors
UBER,02/04/2026,Technology,Software Application
FLEX,02/04/2026,Technology,Electronic Components
GOOGL,02/04/2026,Communication Services,Internet Content and Information
GOOG,02/04/2026,Communication Services,Internet Content and Information
MET,02/04/2026,Financials,Insurance Life
ARM,02/04/2026,Technology,Semiconductors
CME,02/04/2026,Financials,Financial Data and Stock Exchanges
ELF,02/04/2026,Consumer Defensive,Household and Personal Products
ALL,02/04/2026,Financials,Insurance Propery and Casualty
EFX,02/04/2026,Industrials,Consulting Services
BSX,02/04/2026,Healthcare,Medical Devices
