Stock,Earnings Date,Sector,Industry
BK,01/13/2026,Financials,Banks Diversified
WFC,01/14/2026,Financials,Banks Diversified
INFY,01/14/2026,Technology,Information Technology
C,01/14/2026,Financials,Banks Diversified
BAC,01/14/2026,Financials,Banks Diversified
JBHT,01/15/2026,Industrials,Integrated Freight and Logistics
GS,01/15/2026,Financials,Capital Markets
TSM,01/15/2026,Technology,Semiconductors
MS,01/15/2026,Financials,Capital Markets
BLK,01/15/2026,Financials,Asset Management
RF,01/16/2026,Financials,Banks Regional
PNC,01/16/2026,Financials,Banks Regional
STT,01/16/2026,Financials,Asset Management
USB,01/20/2026,Financials,Banks Regional
DHI,01/20/2026,Consumer Cyclical,Residential Construction
UAL,01/20/2026,Industrials,Airlines
FAST,01/20/2026,Industrials,Industrial Distribution
MMM,01/20/2026,Industrials,Conglomerates
NFLX,01/20/2026,Communication Services,Entertainment
JNJ,01/21/2026,Healthcare,Drug Manufacturers - General
TRV,01/21/2026,Financials,Insurance Propery and Casualty
PLD,01/21/2026,Real Estate,Real Estate
TFC,01/21/2026,Financials,Banks Regional
TEL,01/21/2026,Technology,Electronic Components
ONB,01/21/2026,Financials,Banks Regional
SCHW,01/21/2026,Financials,Capital Markets
CFG,01/21/2026,Financials,Banks Regional
HAL,01/21/2026,Energy,Oil and Gas Equipment and Services
GE,01/22/2026,Industrials,Aerospace and Defense
COF,01/22/2026,Financials,Credit Services
CSX,01/22/2026,Industrials,Railroads
ISRG,01/22/2026,Healthcare,Medical Instruments and Supplies
HBAN,01/22/2026,Healthcare,Banks Regional
PG,01/22/2026,Consumer Defensive,Household and Personal Products
ABT,01/22/2026,Healthcare,Medical Devices
AA,01/22/2026,Basic Materials,Aluminum
INTC,01/22/2026,Technology,Semiconductors
FCX,01/22/2026,Basic Materials,Copper
SLB,01/23/2026,Energy,Oil and Gas Equipment and Services
SCCO,01/26/2026,Basic Materials,Copper
NUE,01/26/2026,Basic Materials,Steel
BRO,01/26/2026,Financials,Insurance Brokers
STLD,01/26/2026,Basic Materials,Steel
SYF,01/27/2026,Financials,Credit Services
SBUX,01/27/2026,Consumer Cyclical,Restaurants
RCL,01/27/2026,Consumer Cyclical,Travel Services
UNH,01/27/2026,Healthcare,Healthcare Plans
BA,01/27/2026,Industrials,Aerospace and Defense
V,01/27/2026,Financials,Credit Services
GM,01/27/2026,Consumer Cyclical,Auto Manufacturers
NEE,01/27/2026,Utilities,Regulated Electric
PPG,01/27/2026,Basic Materials,Specialty Chemicals
TXN,01/27/2026,Technology,Semiconductors
ROP,01/27/2026,Technology,Software Application
QRVO,01/27/2026,Technology,Semiconductors
NOC,01/27/2026,Industrials,Aerospace and Defense
UPS,01/27/2026,Industrials,Integrated Freight and Logistics
UNP,01/27/2026,Industrials,Railroads
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
RTX,01/27/2026,Industrials,Aerospace and Defense
ADP,01/28/2026,Technology,Software Application
APH,01/28/2026,Technology,Electronic Components
ASML,01/28/2026,Technology,Semiconductors Equipment and Materials
FLEX,01/28/2026,Technology,Electronic Components
CLF,01/28/2026,Basic Materials,Steel
WM,01/28/2026,Industrials,Waste Management
IBM,01/28/2026,Technology,Information Technology
CCI,01/28/2026,Real Estate,Real Estate
LRCX,01/28/2026,Technology,Semiconductors Equipment and Materials
MSFT,01/28/2026,Technology,Software Infastructure
T,01/28/2026,Communication Services,Telecom Services
NOW,01/28/2026,Technology,Software Application
META,01/28/2026,Communication Services,Internet Content and Information
GLW,01/28/2026,Technology,Electronic Components
PGR,01/28/2026,Financials,Insurance Propery and Casualty
GEV,01/28/2026,Industrials,Special Industrial Machinery
OTIS,01/28/2026,Industrials,Special Industrial Machinery
DHR,01/28/2026,Healthcare,Diagnostics and Research
LUV,01/28/2026,Industrials,Airlines
WHR,01/28/2026,Consumer Cyclical,Furnishings/Fixtures/Appliances
ELV,01/28/2026,Healthcare,Healthcare Plans
TSLA,01/28/2026,Consumer Cyclical,Auto Manufacturers
GD,01/28/2026,Industrials,Aerospace and Defense
LVS,01/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
URI,01/28/2026,Industrials,Rental and Leasing Services
CHRW,01/28/2026,Industrials,Integrated Freight and Logistics
SAP,01/29/2026,Technology,Information Technology
BX,01/29/2026,Financials,Unknown
NSC,01/29/2026,Industrials,Railroads
ETN,01/29/2026,Industrials,Special Industrial Machinery
CAT,01/29/2026,Industrials,Farm and Heavy Construction Machinery
HON,01/29/2026,Industrials,Conglomerates
MMC,01/29/2026,Financials,Insurance Brokers
KLAC,01/29/2026,Technology,Semiconductors Equipment and Materials
TMO,01/29/2026,Healthcare,Diagnostics and Research
SYK,01/29/2026,Healthcare,Medical Devices
RMD,01/29/2026,Healthcare,Medical Instruments and Supplies
PH,01/29/2026,Industrials,Special Industrial Machinery
TT,01/29/2026,Industrials,Building Products and Equipment
AAPL,01/29/2026,Technology,Consumer Electronics
MA,01/29/2026,Financials,Credit Services
LMT,01/29/2026,Industrials,Aerospace and Defense
CMCSA,01/29/2026,Communication Services,Telecom Services
TSCO,01/29/2026,Consumer Cyclical,Specialty Retail
MO,01/29/2026,Consumer Defensive,Tobacco
PHM,01/29/2026,Consumer Cyclical,Residential Construction
VLO,01/29/2026,Energy,Oil and Gas Refining and Marketing
DECK,01/29/2026,Consumer Cyclical,Footwear and Accesories
CNX,01/29/2026,Energy,Oil and Gas E&P
SHW,01/29/2026,Basic Materials,Specialty Chemicals
DOW,01/29/2026,Basic Materials,Chemicals
AON,01/30/2026,Financials,Insurance Brokers
SOFI,01/30/2026,Financials,Credit Services
AXP,01/30/2026,Financials,Credit Services
CVX,01/30/2026,Energy,Oil and Gas Intergrated
LYB,01/30/2026,Basic Materials,Specialty Chemicals
CL,01/30/2026,Consumer Defensive,Household and Personal Products
XOM,01/30/2026,Energy,Oil and Gas Intergrated
APD,01/30/2026,Basic Materials,Specialty Chemicals
VZ,01/30/2026,Communication Services,Telecom Services
DIS,02/02/2026,Communication Services,Entertainment
TER,02/02/2026,Technology,Semiconductors Equipment and Materials
NXPI,02/02/2026,Technology,Semiconductors
PLTR,02/02/2026,Technology,Software Infastructure
SPG,02/02/2026,Real Estate,Real Estate
TDG,02/03/2026,Industrials,Aerospace and Defense
AMGN,02/03/2026,Healthcare,Drug Manufacturers - General
CRUS,02/03/2026,Technology,Semiconductors
J,02/03/2026,Industrials,Engineering and Construction
ITW,02/03/2026,Industrials,Special Industrial Machinery
EMR,02/03/2026,Industrials,Special Industrial Machinery
AMD,02/03/2026,Technology,Semiconductors
ENTG,02/03/2026,Technology,Semiconductors Equipment and Materials
PFE,02/03/2026,Healthcare,Drug Manufacturers - General
MRK,02/03/2026,Healthcare,Drug Manufacturers - General
ATO,02/03/2026,Utilities,Regulated Gas
TTWO,02/03/2026,Communication Services,Electronic Gaming and Multimedia
CTVA,02/03/2026,Basic Materials,Agricultural Inputs
CMG,02/03/2026,Consumer Cyclical,Restaurants
PYPL,02/03/2026,Financials,Credit Services
PRU,02/03/2026,Financials,Insurance Life
MPC,02/03/2026,Energy,Oil and Gas Refining and Marketing
PEP,02/03/2026,Consumer Defensive,Beverages
CB,02/03/2026,Financials,Insurance Propery and Casualty
BOOT,02/04/2026,Consumer Cyclical,Apparel Retail
UHAL,02/04/2026,Industrials,Rental and Leasing Services
MET,02/04/2026,Financials,Insurance Life
ARM,02/04/2026,Technology,Semiconductors
JCI,02/04/2026,Industrials,Building Products and Equipment
PSX,02/04/2026,Energy,Oil and Gas Refining and Marketing
CME,02/04/2026,Financials,Financial Data and Stock Exchanges
QCOM,02/04/2026,Technology,Semiconductors
GOOGL,02/04/2026,Communication Services,Internet Content and Information
LLY,02/04/2026,Healthcare,Drug Manufacturers - General
ORLY,02/04/2026,Consumer Cyclical,Specialty Retail
GOOG,02/04/2026,Communication Services,Internet Content and Information
ABBV,02/04/2026,Healthcare,Drug Manufacturers - General
AFL,02/04/2026,Financials,Insurance Life
UBER,02/04/2026,Technology,Software Application
ELF,02/04/2026,Consumer Defensive,Household and Personal Products
ALL,02/04/2026,Financials,Insurance Propery and Casualty
YUM,02/04/2026,Consumer Cyclical,Restaurants
BSX,02/04/2026,Healthcare,Medical Devices
SWKS,02/04/2026,Technology,Semiconductors
PM,02/05/2026,Consumer Defensive,Tobacco
AMZN,02/05/2026,Consumer Cyclical,Internet Retail
EXPE,02/05/2026,Consumer Cyclical,Travel Services
COP,02/05/2026,Energy,Oil and Gas E&P
DLR,02/05/2026,Real Estate,Real Estate
AFRM,02/05/2026,Technology,Software Infastructure
BMY,02/05/2026,Healthcare,Drug Manufacturers - General
ICE,02/05/2026,Financials,Financial Data and Stock Exchanges
FTNT,02/05/2026,Technology,Software Infastructure
CI,02/05/2026,Healthcare,Healthcare Plans
MCHP,02/05/2026,Technology,Semiconductors
VVV,02/05/2026,Consumer Cyclical,Auto and Truck Dealerships
RBLX,02/05/2026,Communication Services,Electronic Gaming and Multimedia
HSY,02/05/2026,Consumer Defensive,Confectioners
KKR,02/05/2026,Financials,Asset Management
LIN,02/05/2026,Basic Materials,Specialty Chemicals
AER,02/06/2026,Industrials,Rental and Leasing Services
WELL,02/09/2026,Real Estate,Real Estate
VRTX,02/09/2026,Healthcare,Biotechnology
HOOD,02/10/2026,Financials,Capital Markets
ECL,02/10/2026,Basic Materials,Specialty Chemicals
SPOT,02/10/2026,Communication Services,Internet Content and Information
DUK,02/10/2026,Utilities,Regulated Electric
UPST,02/10/2026,Financials,Credit Services
KO,02/10/2026,Consumer Defensive,Beverages
ARMK,02/10/2026,Industrials,Specialty Business Services
SPGI,02/10/2026,Financials,Financial Data and Stock Exchanges
EW,02/10/2026,Healthcare,Medical Devices
MAR,02/10/2026,Consumer Cyclical,Lodging
GILD,02/10/2026,Healthcare,Drug Manufacturers - General
F,02/10/2026,Consumer Cyclical,Auto Manufacturers
HLT,02/11/2026,Consumer Cyclical,Lodging
TMUS,02/11/2026,Communication Services,Telecom Services
MGM,02/11/2026,Consumer Cyclical,Resorts/Casinos/Gambling
PSN,02/11/2026,Technology,Information Technology
APP,02/11/2026,Technology,Software Application
MCD,02/11/2026,Consumer Cyclical,Restaurants
CSCO,02/11/2026,Technology,Communication Equipment
ALB,02/11/2026,Basic Materials,Specialty Chemicals
HUM,02/11/2026,Healthcare,Healthcare Plans
U,02/11/2026,Technology,Software Application
CVS,02/11/2026,Consumer Cyclical,Healthcare Plans
BWA,02/11/2026,Consumer Cyclical,Auto Parts
SHOP,02/11/2026,Technology,Software Application
EXC,02/12/2026,Utilities,Regulated Electric
DE,02/12/2026,Industrials,Farm and Heavy Construction Machinery
AMAT,02/12/2026,Technology,Semiconductors Equipment and Materials
ZTS,02/12/2026,Healthcare,Drug Manufacturers - Specialty and Generic
AEP,02/12/2026,Utilities,Regulated Electric
RIVN,02/12/2026,Consumer Cyclical,Auto Manufacturers
PANW,02/12/2026,Technology,Software Infastructure
BIRK,02/12/2026,Consumer Cyclical,Footwear and Accesories
ROKU,02/12/2026,Communication Services,Entertainment
H,02/12/2026,Consumer Cyclical,Lodging
IR,02/12/2026,Industrials,Special Industrial Machinery
DXCM,02/12/2026,Healthcare,Medical Devices
AEM,02/12/2026,Basic Materials,Gold Miners
MRNA,02/13/2026,Healthcare,Biotechnology
TOL,02/17/2026,Consumer Cyclical,Residential Construction
CE,02/17/2026,Basic Materials,Chemicals
CEG,02/17/2026,Utilities,Renewable
MDT,02/17/2026,Healthcare,Medical Devices
CZR,02/17/2026,Consumer Cyclical,Resorts/Casinos/Gambling
FE,02/17/2026,Utilities,Regulated Electric
HUN,02/17/2026,Basic Materials,Chemicals
CDNS,02/17/2026,Technology,Software Application
RSG,02/17/2026,Industrials,Waste Management
DVN,02/17/2026,Energy,Oil and Gas E&P
VMC,02/17/2026,Basic Materials,Building Materials
DASH,02/18/2026,Communication Services,Internet Content and Information
OXY,02/18/2026,Energy,Oil and Gas E&P
ADI,02/18/2026,Technology,Semiconductors
CRH,02/18/2026,Basic Materials,Building Materials
BKNG,02/19/2026,Consumer Cyclical,Travel Services
NEM,02/19/2026,Basic Materials,Gold Miners
CELH,02/19/2026,Consumer Defensive,Beverages
BABA,02/19/2026,Consumer Cyclical,Internet Retail
WMT,02/19/2026,Consumer Defensive,Discount Stores
FANG,02/23/2026,Energy,Oil and Gas E&P
D,02/23/2026,Utilities,Regulated Electric
ZM,02/23/2026,Technology,Software Application
EOG,02/24/2026,Energy,Oil and Gas E&P
CART,02/24/2026,Consumer Cyclical,Internet Retail
HD,02/24/2026,Consumer Cyclical,Home Improvement Retail
WDAY,02/24/2026,Technology,Software Application
FSLR,02/24/2026,Technology,Solar
MELI,02/24/2026,Consumer Cyclical,Internet Retail
ANET,02/24/2026,Technology,Computer Hardware
CRM,02/25/2026,Technology,Software Application
LOW,02/25/2026,Consumer Cyclical,Home Improvement Retail
NVDA,02/25/2026,Technology,Semiconductors
SNPS,02/25/2026,Technology,Software Infastructure
TJX,02/25/2026,Consumer Cyclical,Apparel Retail
AI,02/25/2026,Technology,Software Application
INTU,02/26/2026,Technology,Software Application
TD,02/26/2026,Financials,Banks Diversified
RY,02/26/2026,Financials,Banks Diversified
GTLB,03/02/2026,Technology,Software Infastructure
AZO,03/03/2026,Consumer Cyclical,Specialty Retail
AVGO,03/04/2026,Technology,Semiconductors
ZS,03/05/2026,Technology,Software Infastructure
COST,03/05/2026,Consumer Defensive,Discount Stores
MRVL,03/05/2026,Technology,Semiconductors
ORCL,03/09/2026,Technology,Software Infastructure
CRWD,03/10/2026,Technology,Software Infastructure
ADBE,03/12/2026,Technology,Software Infastructure
DRI,03/19/2026,Consumer Cyclical,Restaurants
ACN,03/19/2026,Technology,Information Technology
CCL,03/19/2026,Consumer Cyclical,Travel Services
DAL,04/08/2026,Industrials,Airlines
JPM,04/14/2026,Financials,Banks Diversified
