ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
AMT,23.8671,-13.0553,12.9232,-13.3985,8.1157,-14.8162,5.7105,4.9006,2.4705,30.44,37.92,23.93,30.76
ENTG,22.6473,-6.2959,10.5685,-9.9834,7.6097,-8.8239,-6.2959,-6.0658,2.309,30.34,-57.4,-27.8,-18.28
WPM,11.239,-2.8001,6.8713,-2.9726,3.1615,-2.2872,11.239,6.6363,0.9541,30.18,96.58,100.0,75.59
BLDR,33.2454,-3.5322,19.5365,-13.733,9.8121,-9.419,1.2139,-9.6859,2.9396,29.96,-49.58,3.65,-5.32
OTIS,8.5733,0.0,5.6419,-2.611,2.8914,-2.6124,4.5811,0.0702,0.8631,29.85,1.24,53.43,28.18
SO,7.0602,-0.2183,4.5581,-1.5654,2.1713,-4.0455,6.9727,1.4807,0.6459,29.75,32.49,98.76,53.66
XOM,14.4324,-7.1713,7.3393,-6.324,3.9623,-5.4042,3.9809,0.1517,1.1653,29.41,2.07,27.58,19.69
RMD,32.9303,-12.3213,23.3673,-20.3695,10.9686,-13.5507,13.3204,6.7298,3.1935,29.11,28.8,40.45,32.79
HES,19.9479,-6.2035,10.0492,-6.7208,6.3931,-7.3133,3.5943,-0.2298,1.8603,29.1,-2.29,18.02,14.94
CEG,47.8701,-0.1562,26.7191,-9.9255,26.1379,-23.5146,47.8701,18.0434,7.5984,29.07,67.53,100.0,65.53
PZZA,14.9981,-8.9716,8.6588,-8.2484,5.0524,-5.5367,-6.6518,1.5193,1.4517,28.73,17.55,-44.35,0.64
AFRM,6.8011,-21.6114,21.4932,-18.9698,13.71,-13.7382,6.8011,2.8425,3.911,28.53,13.23,100.0,47.25
NCLH,7.5869,-9.8613,2.5089,-11.6813,2.6463,-10.7836,0.4172,-0.7231,0.751,28.38,-28.82,5.5,1.69
DKNG,12.2741,-6.0454,8.1183,-7.8499,5.696,-4.6699,2.3508,0.0608,1.61,28.27,0.75,19.15,16.06
DHI,23.4476,-3.0727,12.707,-9.93,9.5261,-7.5776,3.5541,-4.8643,2.6631,27.96,-38.28,15.16,1.61
F,2.2162,-0.8483,1.9824,-1.1701,1.0839,-0.8181,0.0013,0.3072,0.3013,27.8,15.5,0.06,14.45
FAST,3.8145,-0.154,2.3652,-0.8991,1.4405,-1.1279,3.8145,1.4191,0.3986,27.67,60.0,100.0,62.56
GM,6.6737,-2.6843,5.9984,-4.6663,3.3614,-3.8852,2.9238,0.3843,0.9213,27.41,6.41,43.81,25.88
PPG,14.7912,-4.9224,11.5786,-8.3534,6.4692,-9.779,-4.3222,-0.9614,1.743,26.94,-8.3,-29.22,-3.53
CVS,9.9946,-5.5087,5.7959,-5.5354,3.6908,-4.4595,-1.0423,2.2766,0.99,26.82,39.28,-10.43,18.56
PCAR,13.5434,-1.5385,9.6146,-3.7046,4.1022,-3.7267,5.6805,-2.1042,1.0967,26.73,-21.89,41.94,15.6
XLE,10.1937,-5.9582,6.4948,-5.5564,3.1013,-5.7429,2.632,-0.3892,0.8096,26.11,-5.99,25.82,15.31
CDNS,38.0053,-3.6479,18.6868,-11.1349,14.4519,-15.718,21.117,7.6933,3.7703,26.09,41.17,55.56,40.94
IBB,15.8078,-4.363,8.9888,-9.4647,4.5226,-6.4731,-0.9693,-2.2888,1.168,25.83,-25.46,-6.13,-1.92
PEG,8.1302,-1.0057,5.529,-3.131,2.8085,-4.1653,5.9086,-0.1006,0.713,25.39,-1.82,72.67,32.08
DD,8.4168,-8.4826,6.1483,-7.981,4.402,-5.1458,0.4434,-1.8828,1.1132,25.29,-30.62,5.27,-0.02
