ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
XLU,6.2299,-1.2188,3.7935,-1.848,1.8939,-4.0455,6.2299,2.8086,1.8939,100.0,74.04,100.0,91.35
SMH,36.7165,-1.8894,22.6215,-11.3802,11.5543,-12.0591,36.7165,22.6215,9.0926,78.69,100.0,100.0,92.9
IBB,15.7727,-4.3518,8.9842,-9.4591,4.5199,-6.4692,2.2153,5.2182,3.2375,71.63,58.08,14.05,47.92
XLV,10.6118,-1.5151,4.8929,-3.1525,2.5929,-5.0738,1.7423,1.0652,1.6731,64.53,21.77,16.42,34.24
XLK,25.1347,-1.6387,13.6353,-7.5513,7.9415,-9.2033,25.1347,13.6353,3.6375,45.8,100.0,100.0,81.93
IWM,20.8606,-5.8099,17.2794,-10.2008,6.8103,-14.7781,11.0654,8.8292,2.6509,38.92,51.1,53.04,47.69
ARKK,21.7231,-14.1,17.8692,-13.8863,7.2228,-7.2398,7.6877,7.2215,2.3189,32.11,40.41,35.39,35.97
QQQ,52.6952,-3.31,24.2552,-19.3937,14.6619,-17.7081,52.6952,23.4102,4.4632,30.44,96.52,100.0,75.65
SPY,50.9355,-9.6165,22.5626,-14.605,12.1971,-21.7851,50.9355,21.1447,2.9548,24.23,93.72,100.0,72.65
DIA,29.7614,-6.9098,14.0657,-11.8775,8.041,-20.6372,27.4724,10.5895,1.2983,16.15,75.29,92.31,61.25
IGV,10.0292,-2.7413,5.9581,-5.262,3.7071,-3.633,9.9226,3.4885,0.3795,10.24,58.55,98.94,55.91
XLI,11.7008,-2.7173,5.2858,-4.5161,3.9524,-6.9123,11.7008,3.8703,0.1758,4.45,73.22,100.0,59.22
IYT,5.4685,-1.5244,4.157,-3.1772,1.8892,-3.9433,2.4163,1.2375,0.0148,0.78,29.77,44.19,24.91
XLC,11.1675,-3.8355,5.0961,-4.5641,2.5261,-3.4032,11.1675,4.4781,-0.0951,-3.76,87.87,100.0,61.37
XLRE,3.6386,-0.8943,2.0099,-2.117,1.1518,-2.6914,1.3639,0.2222,-0.062,-5.38,11.06,37.48,14.39
XLY,20.1609,-3.0871,12.6497,-11.1276,7.2933,-9.3624,16.3619,6.888,-0.4766,-6.53,54.45,81.16,43.02
JETS,2.0714,-3.4661,2.0202,-4.6144,1.5936,-4.1793,1.2488,0.6336,-0.1211,-7.6,31.36,60.29,28.02
XRT,13.3861,-1.8038,8.9921,-5.6336,5.2259,-3.7952,3.7408,2.6463,-0.4539,-8.69,29.43,27.95,16.23
XLP,4.4879,-0.5221,2.3481,-1.5397,1.4069,-2.5966,2.5354,-0.3165,-0.2374,-16.87,-13.48,56.49,8.71
XLE,10.1074,-5.9077,6.4398,-5.5094,3.075,-5.6943,2.5637,0.6245,-0.5456,-17.74,9.7,25.36,5.77
XLF,4.5282,-3.2475,2.4074,-1.7488,1.0835,-2.5681,4.3314,0.93,-0.1924,-17.76,38.63,95.65,38.84
XLB,7.5336,-2.3628,4.5301,-3.0421,2.2831,-4.2161,2.1809,0.6485,-0.4649,-20.36,14.32,28.95,7.63
KRE,6.0147,-3.9969,6.0299,-5.4312,2.6287,-5.1289,2.8809,1.108,-0.7454,-28.36,18.38,47.9,12.64
XHB,13.7104,-4.7041,7.3876,-5.0324,4.044,-5.3071,5.5565,2.3242,-1.6858,-41.69,31.46,40.53,10.1
