Stock,Earnings Date,Sector,Industry
UAL,01/20/2026,Industrials,Airlines
MMM,01/20/2026,Industrials,Conglomerates
NFLX,01/20/2026,Communication Services,Entertainment
DHI,01/20/2026,Consumer Cyclical,Residential Construction
USB,01/20/2026,Financials,Banks Regional
FAST,01/20/2026,Industrials,Industrial Distribution
SCHW,01/21/2026,Financials,Capital Markets
ONB,01/21/2026,Financials,Banks Regional
JNJ,01/21/2026,Healthcare,Drug Manufacturers - General
PLD,01/21/2026,Real Estate,Real Estate
HAL,01/21/2026,Energy,Oil and Gas Equipment and Services
TFC,01/21/2026,Financials,Banks Regional
CFG,01/21/2026,Financials,Banks Regional
TEL,01/21/2026,Technology,Electronic Components
TRV,01/21/2026,Financials,Insurance Propery and Casualty
CSX,01/22/2026,Industrials,Railroads
HBAN,01/22/2026,Healthcare,Banks Regional
FCX,01/22/2026,Basic Materials,Copper
ISRG,01/22/2026,Healthcare,Medical Instruments and Supplies
PG,01/22/2026,Consumer Defensive,Household and Personal Products
GE,01/22/2026,Industrials,Aerospace and Defense
COF,01/22/2026,Financials,Credit Services
INTC,01/22/2026,Technology,Semiconductors
ABT,01/22/2026,Healthcare,Medical Devices
AA,01/22/2026,Basic Materials,Aluminum
SLB,01/23/2026,Energy,Oil and Gas Equipment and Services
BRO,01/26/2026,Financials,Insurance Brokers
NUE,01/26/2026,Basic Materials,Steel
SCCO,01/26/2026,Basic Materials,Copper
STLD,01/26/2026,Basic Materials,Steel
BA,01/27/2026,Industrials,Aerospace and Defense
NEE,01/27/2026,Utilities,Regulated Electric
NOC,01/27/2026,Industrials,Aerospace and Defense
UNP,01/27/2026,Industrials,Railroads
UPS,01/27/2026,Industrials,Integrated Freight and Logistics
GM,01/27/2026,Consumer Cyclical,Auto Manufacturers
UNH,01/27/2026,Healthcare,Healthcare Plans
TXN,01/27/2026,Technology,Semiconductors
RTX,01/27/2026,Industrials,Aerospace and Defense
PCAR,01/27/2026,Industrials,Farm and Heavy Construction Machinery
SYF,01/27/2026,Financials,Credit Services
ROP,01/27/2026,Technology,Software Application
PPG,01/27/2026,Basic Materials,Specialty Chemicals
QRVO,01/27/2026,Technology,Semiconductors
LRCX,01/28/2026,Technology,Semiconductors Equipment and Materials
WM,01/28/2026,Industrials,Waste Management
LUV,01/28/2026,Industrials,Airlines
URI,01/28/2026,Industrials,Rental and Leasing Services
META,01/28/2026,Communication Services,Internet Content and Information
SBUX,01/28/2026,Consumer Cyclical,Restaurants
CCI,01/28/2026,Real Estate,Real Estate
TSLA,01/28/2026,Consumer Cyclical,Auto Manufacturers
DHR,01/28/2026,Healthcare,Diagnostics and Research
WHR,01/28/2026,Consumer Cyclical,Furnishings/Fixtures/Appliances
OTIS,01/28/2026,Industrials,Special Industrial Machinery
ELV,01/28/2026,Healthcare,Healthcare Plans
NOW,01/28/2026,Technology,Software Application
LVS,01/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
CHRW,01/28/2026,Industrials,Integrated Freight and Logistics
ADP,01/28/2026,Technology,Software Application
GD,01/28/2026,Industrials,Aerospace and Defense
MSFT,01/28/2026,Technology,Software Infastructure
APH,01/28/2026,Technology,Electronic Components
IBM,01/28/2026,Technology,Information Technology
GLW,01/28/2026,Technology,Electronic Components
ASML,01/28/2026,Technology,Semiconductors Equipment and Materials
PGR,01/28/2026,Financials,Insurance Propery and Casualty
T,01/28/2026,Communication Services,Telecom Services
GEV,01/28/2026,Industrials,Special Industrial Machinery
RMD,01/29/2026,Healthcare,Medical Instruments and Supplies
MO,01/29/2026,Consumer Defensive,Tobacco
MMC,01/29/2026,Financials,Insurance Brokers
SYK,01/29/2026,Healthcare,Medical Devices
CAT,01/29/2026,Industrials,Farm and Heavy Construction Machinery
V,01/29/2026,Financials,Credit Services
NSC,01/29/2026,Industrials,Railroads
HON,01/29/2026,Industrials,Conglomerates
TMO,01/29/2026,Healthcare,Diagnostics and Research
VLO,01/29/2026,Energy,Oil and Gas Refining and Marketing
LMT,01/29/2026,Industrials,Aerospace and Defense
MA,01/29/2026,Financials,Credit Services
CNX,01/29/2026,Energy,Oil and Gas E&P
BX,01/29/2026,Financials,Unknown
CMCSA,01/29/2026,Communication Services,Telecom Services
PHM,01/29/2026,Consumer Cyclical,Residential Construction
AAPL,01/29/2026,Technology,Consumer Electronics
SAP,01/29/2026,Technology,Information Technology
KLAC,01/29/2026,Technology,Semiconductors Equipment and Materials
PH,01/29/2026,Industrials,Special Industrial Machinery
RCL,01/29/2026,Consumer Cyclical,Travel Services
SHW,01/29/2026,Basic Materials,Specialty Chemicals
TSCO,01/29/2026,Consumer Cyclical,Specialty Retail
TT,01/29/2026,Industrials,Building Products and Equipment
DOW,01/29/2026,Basic Materials,Chemicals
DECK,01/29/2026,Consumer Cyclical,Footwear and Accesories
CVX,01/30/2026,Energy,Oil and Gas Intergrated
XOM,01/30/2026,Energy,Oil and Gas Intergrated
VZ,01/30/2026,Communication Services,Telecom Services
AXP,01/30/2026,Financials,Credit Services
SOFI,01/30/2026,Financials,Credit Services
AON,01/30/2026,Financials,Insurance Brokers
CL,01/30/2026,Consumer Defensive,Household and Personal Products
APD,01/30/2026,Basic Materials,Specialty Chemicals
LYB,01/30/2026,Basic Materials,Specialty Chemicals
PLTR,02/02/2026,Technology,Software Infastructure
SPG,02/02/2026,Real Estate,Real Estate
NXPI,02/02/2026,Technology,Semiconductors
DIS,02/02/2026,Communication Services,Entertainment
TER,02/02/2026,Technology,Semiconductors Equipment and Materials
TTWO,02/03/2026,Communication Services,Electronic Gaming and Multimedia
PRU,02/03/2026,Financials,Insurance Life
PYPL,02/03/2026,Financials,Credit Services
EMR,02/03/2026,Industrials,Special Industrial Machinery
IT,02/03/2026,Technology,Information Technology
SWKS,02/03/2026,Technology,Semiconductors
ETN,02/03/2026,Industrials,Special Industrial Machinery
ATO,02/03/2026,Utilities,Regulated Gas
CRUS,02/03/2026,Technology,Semiconductors
PEP,02/03/2026,Consumer Defensive,Beverages
CB,02/03/2026,Financials,Insurance Propery and Casualty
CTVA,02/03/2026,Basic Materials,Agricultural Inputs
AMD,02/03/2026,Technology,Semiconductors
ITW,02/03/2026,Industrials,Special Industrial Machinery
J,02/03/2026,Industrials,Engineering and Construction
AMGN,02/03/2026,Healthcare,Drug Manufacturers - General
PFE,02/03/2026,Healthcare,Drug Manufacturers - General
CMG,02/03/2026,Consumer Cyclical,Restaurants
MRK,02/03/2026,Healthcare,Drug Manufacturers - General
TDG,02/03/2026,Industrials,Aerospace and Defense
MPC,02/03/2026,Energy,Oil and Gas Refining and Marketing
QCOM,02/04/2026,Technology,Semiconductors
UBER,02/04/2026,Technology,Software Application
LLY,02/04/2026,Healthcare,Drug Manufacturers - General
GOOGL,02/04/2026,Communication Services,Internet Content and Information
ABBV,02/04/2026,Healthcare,Drug Manufacturers - General
GOOG,02/04/2026,Communication Services,Internet Content and Information
BSX,02/04/2026,Healthcare,Medical Devices
ELF,02/04/2026,Consumer Defensive,Household and Personal Products
ALL,02/04/2026,Financials,Insurance Propery and Casualty
UHAL,02/04/2026,Industrials,Rental and Leasing Services
ORLY,02/04/2026,Consumer Cyclical,Specialty Retail
JCI,02/04/2026,Industrials,Building Products and Equipment
PSX,02/04/2026,Energy,Oil and Gas Refining and Marketing
AFL,02/04/2026,Financials,Insurance Life
ARM,02/04/2026,Technology,Semiconductors
YUM,02/04/2026,Consumer Cyclical,Restaurants
FLEX,02/04/2026,Technology,Electronic Components
BOOT,02/04/2026,Consumer Cyclical,Apparel Retail
MET,02/04/2026,Financials,Insurance Life
CME,02/04/2026,Financials,Financial Data and Stock Exchanges
CARR,02/05/2026,Industrials,Building Products and Equipment
FTNT,02/05/2026,Technology,Software Infastructure
AFRM,02/05/2026,Technology,Software Infastructure
DLR,02/05/2026,Real Estate,Real Estate
MCHP,02/05/2026,Technology,Semiconductors
MPWR,02/05/2026,Technology,Semiconductors
MSTR,02/05/2026,Technology,Software Application
XEL,02/05/2026,Utilities,Regulated Electric
KKR,02/05/2026,Financials,Asset Management
ICE,02/05/2026,Financials,Financial Data and Stock Exchanges
LIN,02/05/2026,Basic Materials,Specialty Chemicals
VVV,02/05/2026,Consumer Cyclical,Auto and Truck Dealerships
CI,02/05/2026,Healthcare,Healthcare Plans
AMZN,02/05/2026,Consumer Cyclical,Internet Retail
BMY,02/05/2026,Healthcare,Drug Manufacturers - General
HSY,02/05/2026,Consumer Defensive,Confectioners
RBLX,02/05/2026,Communication Services,Electronic Gaming and Multimedia
COP,02/05/2026,Energy,Oil and Gas E&P
AER,02/06/2026,Industrials,Rental and Leasing Services
PM,02/06/2026,Consumer Defensive,Tobacco
VRTX,02/09/2026,Healthcare,Biotechnology
CLF,02/09/2026,Basic Materials,Steel
KO,02/10/2026,Consumer Defensive,Beverages
CVS,02/10/2026,Consumer Cyclical,Healthcare Plans
ENTG,02/10/2026,Technology,Semiconductors Equipment and Materials
F,02/10/2026,Consumer Cyclical,Auto Manufacturers
WELL,02/10/2026,Real Estate,Real Estate
NET,02/10/2026,Technology,Software Infastructure
ECL,02/10/2026,Basic Materials,Specialty Chemicals
MAR,02/10/2026,Consumer Cyclical,Lodging
GILD,02/10/2026,Healthcare,Drug Manufacturers - General
HOOD,02/10/2026,Financials,Capital Markets
