Stock,Earnings Date,Sector,Industry
VRTX,08/04/2025,Healthcare,Biotechnology
PGR,08/04/2025,Financials,Insurance Propery and Casualty
SPG,08/04/2025,Real Estate,Real Estate
RIVN,08/05/2025,Consumer Cyclical,Auto Manufacturers
SWKS,08/05/2025,Technology,Semiconductors
TOST,08/05/2025,Technology,Software Infastructure
IT,08/05/2025,Technology,Information Technology
MOS,08/05/2025,Basic Materials,Agricultural Inputs
DD,08/05/2025,Basic Materials,Specialty Chemicals
ANET,08/05/2025,Technology,Computer Hardware
DUK,08/05/2025,Utilities,Regulated Electric
SMCI,08/05/2025,Technology,Computer Hardware
UPST,08/05/2025,Financials,Credit Services
PEG,08/05/2025,Utilities,Regulated Electric
ARMK,08/05/2025,Industrials,Specialty Business Services
J,08/05/2025,Industrials,Engineering and Construction
GPN,08/06/2025,Industrials,Specialty Business Services
LLY,08/06/2025,Healthcare,Drug Manufacturers - General
SHOP,08/06/2025,Technology,Software Application
CROX,08/06/2025,Consumer Cyclical,Footwear and Accesories
PSN,08/06/2025,Technology,Information Technology
DKNG,08/06/2025,Consumer Cyclical,Resorts/Casinos/Gambling
H,08/06/2025,Consumer Cyclical,Lodging
LYFT,08/06/2025,Technology,Software Application
MCD,08/06/2025,Consumer Cyclical,Restaurants
PENN,08/06/2025,Consumer Cyclical,Resorts/Casinos/Gambling
PZZA,08/06/2025,Consumer Cyclical,Restaurants
AZEK,08/06/2025,Industrials,Building Products and Equipment
SN,08/06/2025,Consumer Cyclical,Furnishings/Fixtures/Appliances
DDOG,08/06/2025,Technology,Software Application
VVV,08/06/2025,Consumer Cyclical,Auto and Truck Dealerships
CELH,08/06/2025,Consumer Defensive,Beverages
ELF,08/06/2025,Consumer Defensive,Household and Personal Products
BROS,08/06/2025,Consumer Cyclical,Restaurants
COP,08/06/2025,Energy,Oil and Gas E&P
ANSS,08/06/2025,Technology,Software Application
MET,08/06/2025,Financials,Insurance Life
OXY,08/06/2025,Energy,Oil and Gas E&P
EMR,08/06/2025,Industrials,Special Industrial Machinery
UHAL,08/06/2025,Industrials,Rental and Leasing Services
ROK,08/06/2025,Industrials,Special Industrial Machinery
PH,08/06/2025,Industrials,Special Industrial Machinery
FTNT,08/06/2025,Technology,Software Infastructure
APP,08/06/2025,Technology,Software Application
VST,08/06/2025,Utilities,Independant Power Providers
U,08/06/2025,Technology,Software Application
CRH,08/06/2025,Basic Materials,Building Materials
CEG,08/06/2025,Utilities,Renewable
Z,08/06/2025,Communication Services,Internet Content and Information
CTVA,08/06/2025,Basic Materials,Agricultural Inputs
ATO,08/06/2025,Utilities,Regulated Gas
NI,08/06/2025,Utilities,Regulated Gas
TRMB,08/06/2025,Technology,Scientific and Technical Instruments
NRG,08/06/2025,Utilities,Independant Power Providers
ABNB,08/06/2025,Consumer Cyclical,Travel Services
CF,08/06/2025,Basic Materials,Agricultural Inputs
UBER,08/06/2025,Technology,Software Application
SRE,08/06/2025,Utilities,Diversified
DIS,08/06/2025,Communication Services,Entertainment
MLM,08/06/2025,Basic Materials,Building Materials
DASH,08/06/2025,Communication Services,Internet Content and Information
GT,08/07/2025,Consumer Cyclical,Auto Parts
MCHP,08/07/2025,Technology,Semiconductors
WYNN,08/07/2025,Consumer Cyclical,Resorts/Casinos/Gambling
TWLO,08/07/2025,Technology,Software Infastructure
EOG,08/07/2025,Energy,Oil and Gas E&P
XYZ,08/07/2025,Technology,Software Infastructure
MNST,08/07/2025,Consumer Defensive,Beverages
GILD,08/07/2025,Healthcare,Drug Manufacturers - General
MP,08/07/2025,Basic Materials,Other Industrial Metals and Mining
TEM,08/07/2025,Healthcare,Health Information Services
LYV,08/07/2025,Communication Services,Entertainment
SEZL,08/07/2025,Financials,Credit Services
PINS,08/07/2025,Communication Services,Internet Content and Information
MSI,08/07/2025,Technology,Communication Equipment
CART,08/07/2025,Consumer Cyclical,Internet Retail
ED,08/07/2025,Utilities,Regulated Electric
TTWO,08/07/2025,Communication Services,Electronic Gaming and Multimedia
EXPE,08/07/2025,Consumer Cyclical,Travel Services
WPM,08/07/2025,Basic Materials,Gold Miners
CENX,08/07/2025,Basic Materials,Aluminum
FNV,08/11/2025,Basic Materials,Gold Miners
CE,08/11/2025,Basic Materials,Chemicals
CRWV,08/12/2025,Technology,Software Infastructure
SE,08/12/2025,Consumer Cyclical,Internet Retail
ONON,08/12/2025,Consumer Cyclical,Footwear and Accesories
CSCO,08/13/2025,Technology,Communication Equipment
