Stock,Earnings Date,Sector,Industry
CASY,12/09/2025,Consumer Cyclical,Specialty Retail
ADBE,12/10/2025,Technology,Software Infastructure
UEC,12/10/2025,Energy,Uranium
RH,12/11/2025,Consumer Cyclical,Specialty Retail
LULU,12/11/2025,Consumer Cyclical,Apparel Retail
AVGO,12/11/2025,Technology,Semiconductors
COST,12/11/2025,Consumer Defensive,Discount Stores
LEN,12/16/2025,Consumer Cyclical,Residential Construction
MU,12/17/2025,Technology,Semiconductors
JBL,12/17/2025,Technology,Electronic Components
BIRK,12/18/2025,Consumer Cyclical,Footwear and Accesories
FDX,12/18/2025,Industrials,Integrated Freight and Logistics
DRI,12/18/2025,Consumer Cyclical,Restaurants
KMX,12/18/2025,Consumer Cyclical,Auto and Truck Dealerships
ACN,12/18/2025,Technology,Information Technology
NKE,12/18/2025,Consumer Cyclical,Footwear and Accesories
KBH,12/18/2025,Consumer Cyclical,Residential Construction
CTAS,12/18/2025,Industrials,Specialty Business Services
CCL,12/19/2025,Consumer Cyclical,Travel Services
DAL,01/09/2026,Industrials,Airlines
JPM,01/13/2026,Financials,Banks Diversified
BK,01/13/2026,Financials,Banks Diversified
C,01/14/2026,Financials,Banks Diversified
BLK,01/14/2026,Financials,Asset Management
WFC,01/14/2026,Financials,Banks Diversified
BAC,01/14/2026,Financials,Banks Diversified
INFY,01/14/2026,Technology,Information Technology
UNH,01/15/2026,Healthcare,Healthcare Plans
GS,01/15/2026,Financials,Capital Markets
MS,01/15/2026,Financials,Capital Markets
JBHT,01/15/2026,Industrials,Integrated Freight and Logistics
TSM,01/15/2026,Technology,Semiconductors
STT,01/15/2026,Financials,Asset Management
PNC,01/16/2026,Financials,Banks Regional
RF,01/16/2026,Financials,Banks Regional
FAST,01/19/2026,Industrials,Industrial Distribution
TXN,01/20/2026,Technology,Semiconductors
ONB,01/20/2026,Financials,Banks Regional
NFLX,01/20/2026,Communication Services,Entertainment
COF,01/20/2026,Financials,Credit Services
USB,01/20/2026,Financials,Banks Regional
UAL,01/20/2026,Industrials,Airlines
DHI,01/20/2026,Consumer Cyclical,Residential Construction
MMM,01/20/2026,Industrials,Conglomerates
STLD,01/21/2026,Basic Materials,Steel
TRV,01/21/2026,Financials,Insurance Propery and Casualty
TFC,01/21/2026,Financials,Banks Regional
ABT,01/21/2026,Healthcare,Medical Devices
SCHW,01/21/2026,Financials,Capital Markets
TEL,01/21/2026,Technology,Electronic Components
HAL,01/21/2026,Energy,Oil and Gas Equipment and Services
GEV,01/21/2026,Industrials,Special Industrial Machinery
JNJ,01/21/2026,Healthcare,Drug Manufacturers - General
CFG,01/21/2026,Financials,Banks Regional
PLD,01/21/2026,Real Estate,Real Estate
AA,01/21/2026,Basic Materials,Aluminum
HBAN,01/22/2026,Healthcare,Banks Regional
ISRG,01/22/2026,Healthcare,Medical Instruments and Supplies
CSX,01/22/2026,Industrials,Railroads
GE,01/22/2026,Industrials,Aerospace and Defense
FCX,01/22/2026,Basic Materials,Copper
UNP,01/22/2026,Industrials,Railroads
ELV,01/22/2026,Healthcare,Healthcare Plans
PG,01/22/2026,Consumer Defensive,Household and Personal Products
AXP,01/23/2026,Financials,Credit Services
SLB,01/23/2026,Energy,Oil and Gas Equipment and Services
NEE,01/23/2026,Utilities,Regulated Electric
SOFI,01/26/2026,Financials,Credit Services
NUE,01/26/2026,Basic Materials,Steel
BRO,01/26/2026,Financials,Insurance Brokers
SYK,01/27/2026,Healthcare,Medical Devices
